第15任總統副總統選舉候選人在嘉義縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"11,138","98,810","197,342","307,290","3,748","311,038",10,"311,048","117,592","428,640",72.5639
　太保市,,905,"6,934","14,968","22,807",283,"23,090",1,"23,091","7,599","30,690",75.2362
,太保里,86,590,909,"1,585",19,"1,604",1,"1,605",614,"2,219",72.2848
,後庄里,8,80,264,352,3,355,0,355,112,467,76.0171
,前潭里,36,283,736,"1,055",14,"1,069",0,"1,069",358,"1,427",74.9124
,後潭里,40,390,793,"1,223",16,"1,239",0,"1,239",391,"1,630",76.0123
,梅埔里,33,275,486,794,10,804,0,804,300,"1,104",72.8261
,春珠里,17,247,536,800,16,816,0,816,258,"1,074",75.9777
,崙頂里,25,240,360,625,12,637,0,637,187,824,77.3058
,安仁里,70,664,"1,099","1,833",30,"1,863",0,"1,863",597,"2,460",75.7317
,東勢里,62,400,776,"1,238",18,"1,256",0,"1,256",370,"1,626",77.2448
,新埤里,27,228,645,900,10,910,0,910,321,"1,231",73.9236
,舊埤里,67,542,"1,071","1,680",24,"1,704",0,"1,704",638,"2,342",72.7583
,田尾里,16,162,340,518,4,522,0,522,187,709,73.6248
,港尾里,18,135,253,406,4,410,0,410,152,562,72.9537
,過溝里,105,660,"1,740","2,505",23,"2,528",0,"2,528",757,"3,285",76.9559
,麻寮里,152,922,"2,148","3,222",31,"3,253",0,"3,253","1,073","4,326",75.1965
,南新里,40,336,973,"1,349",17,"1,366",0,"1,366",415,"1,781",76.6985
,北新里,84,628,"1,503","2,215",24,"2,239",0,"2,239",716,"2,955",75.7699
,埤鄉里,19,152,336,507,8,515,0,515,153,668,77.0958
　朴子市,,823,"7,657","16,136","24,616",297,"24,913",1,"24,914","9,020","33,934",73.4160
,安福里,50,503,774,"1,327",9,"1,336",0,"1,336",501,"1,837",72.7273
,平和里,66,634,983,"1,683",23,"1,706",0,"1,706",512,"2,218",76.9161
,內厝里,32,223,560,815,10,825,0,825,251,"1,076",76.6729
,開元里,5,87,207,299,2,301,0,301,83,384,78.3854
,順天里,17,154,276,447,6,453,0,453,165,618,73.3010
,中正里,16,165,285,466,10,476,0,476,151,627,75.9171
,博厚里,25,181,406,612,4,616,0,616,168,784,78.5714
,文化里,48,414,791,"1,253",14,"1,267",0,"1,267",406,"1,673",75.7322
,永和里,56,533,"1,166","1,755",16,"1,771",0,"1,771",648,"2,419",73.2121
,竹圍里,113,"1,044","1,898","3,055",27,"3,082",0,"3,082",951,"4,033",76.4195
,新寮里,8,156,309,473,9,482,0,482,172,654,73.7003
,?溪里,8,122,268,398,4,402,0,402,198,600,67.0000
,溪口里,19,160,369,548,6,554,0,554,219,773,71.6688
,德興里,15,158,570,743,7,750,0,750,241,991,75.6811
,仁和里,59,370,791,"1,220",13,"1,233",0,"1,233",402,"1,635",75.4128
,大鄉里,86,688,"1,481","2,255",37,"2,292",0,"2,292",844,"3,136",73.0867
,大葛里,79,701,"1,256","2,036",22,"2,058",1,"2,059",750,"2,809",73.2645
,佳禾里,12,162,314,488,10,498,0,498,218,716,69.5531
,竹村里,24,230,478,732,12,744,0,744,284,"1,028",72.3735
,崁前里,14,133,413,560,10,570,0,570,295,865,65.8960
,崁後里,14,114,344,472,8,480,0,480,222,702,68.3761
,順安里,6,47,126,179,0,179,0,179,72,251,71.3147
,德家里,8,139,357,504,6,510,0,510,235,745,68.4564
,新庄里,14,152,302,468,5,473,0,473,211,684,69.1520
,梅華里,14,160,542,716,12,728,0,728,283,"1,011",72.0079
,松華里,12,163,606,781,9,790,0,790,390,"1,180",66.9492
,南竹里,3,64,264,331,6,337,0,337,148,485,69.4845
　布袋鎮,,493,"5,408","10,089","15,990",260,"16,250",0,"16,250","6,833","23,083",70.3981
,岱江里,11,165,208,384,7,391,0,391,208,599,65.2755
,九龍里,6,80,157,243,7,250,0,250,113,363,68.8705
,岑海里,44,525,871,"1,440",27,"1,467",0,"1,467",585,"2,052",71.4912
,興中里,32,273,433,738,21,759,0,759,315,"1,074",70.6704
,光復里,33,454,680,"1,167",19,"1,186",0,"1,186",419,"1,605",73.8941
,見龍里,23,211,386,620,10,630,0,630,196,826,76.2712
,新厝里,18,173,237,428,6,434,0,434,249,683,63.5432
,龍江里,13,165,283,461,12,473,0,473,267,740,63.9189
,振寮里,12,217,232,461,11,472,0,472,260,732,64.4809
,西安里,22,291,476,789,8,797,0,797,334,"1,131",70.4686
,中安里,24,242,633,899,20,919,0,919,440,"1,359",67.6233
,東安里,21,244,647,912,12,924,0,924,368,"1,292",71.5170
,樹林里,9,119,230,358,8,366,0,366,134,500,73.2000
,貴舍里,11,143,296,450,6,456,0,456,191,647,70.4791
,永安里,22,263,468,753,17,770,0,770,330,"1,100",70.0000
,東港里,38,410,862,"1,310",20,"1,330",0,"1,330",510,"1,840",72.2826
,江山里,10,71,132,213,2,215,0,215,67,282,76.2411
,菜舖里,9,118,148,275,5,280,0,280,130,410,68.2927
,考試里,0,69,124,193,1,194,0,194,92,286,67.8322
,新岑里,18,188,470,676,1,677,0,677,244,921,73.5071
,新民里,23,283,573,879,9,888,0,888,384,"1,272",69.8113
,復興里,73,506,"1,033","1,612",17,"1,629",0,"1,629",672,"2,301",70.7953
,好美里,21,198,510,729,14,743,0,743,325,"1,068",69.5693
　大林鎮,,720,"6,396","11,839","18,955",225,"19,180",2,"19,182","6,877","26,059",73.6022
,東林里,20,131,213,364,3,367,0,367,110,477,76.9392
,西林里,61,470,866,"1,397",9,"1,406",0,"1,406",406,"1,812",77.5938
,吉林里,21,269,369,659,7,666,0,666,219,885,75.2542
,平林里,179,"1,459","2,562","4,200",50,"4,250",0,"4,250","1,414","5,664",75.0353
,明華里,22,233,557,812,19,831,0,831,287,"1,118",74.3292
,明和里,49,416,786,"1,251",9,"1,260",2,"1,262",453,"1,715",73.4694
,排路里,17,92,303,412,1,413,0,413,168,581,71.0843
,西結里,15,87,383,485,7,492,0,492,201,693,70.9957
,湖北里,21,130,280,431,6,437,0,437,161,598,73.0769
,大糖里,3,65,61,129,3,132,0,132,57,189,69.8413
,大美里,44,397,616,"1,057",19,"1,076",0,"1,076",480,"1,556",69.1517
,過溪里,21,374,595,990,9,999,0,999,394,"1,393",71.7157
,中坑里,33,320,534,887,11,898,0,898,405,"1,303",68.9179
,上林里,13,189,364,566,11,577,0,577,207,784,73.5969
,中林里,36,265,825,"1,126",12,"1,138",0,"1,138",387,"1,525",74.6230
,三和里,56,500,847,"1,403",17,"1,420",0,"1,420",560,"1,980",71.7172
,溝背里,23,197,445,665,5,670,0,670,213,883,75.8777
,義和里,21,177,275,473,7,480,0,480,170,650,73.8462
,內林里,13,184,261,458,7,465,0,465,171,636,73.1132
,三角里,22,246,324,592,3,595,0,595,217,812,73.2759
,三村里,30,195,373,598,10,608,0,608,197,805,75.5280
　民雄鄉,,"1,773","13,576","28,356","43,705",532,"44,237",2,"44,239","15,282","59,521",74.3217
,東榮村,67,597,986,"1,650",23,"1,673",0,"1,673",589,"2,262",73.9611
,中樂村,38,438,688,"1,164",21,"1,185",0,"1,185",336,"1,521",77.9093
,西安村,105,777,"1,608","2,490",22,"2,512",0,"2,512",758,"3,270",76.8196
,寮頂村,54,462,"1,062","1,578",25,"1,603",0,"1,603",483,"2,086",76.8456
,福權村,54,294,829,"1,177",15,"1,192",0,"1,192",322,"1,514",78.7318
,東湖村,64,428,805,"1,297",17,"1,314",0,"1,314",510,"1,824",72.0395
,頂崙村,34,309,672,"1,015",11,"1,026",0,"1,026",371,"1,397",73.4431
,菁埔村,30,239,988,"1,257",8,"1,265",0,"1,265",410,"1,675",75.5224
,中和村,21,231,434,686,12,698,0,698,234,932,74.8927
,平和村,23,157,419,599,7,606,0,606,195,801,75.6554
,西昌村,31,142,417,590,11,601,0,601,205,806,74.5658
,豊收村,63,495,941,"1,499",24,"1,523",0,"1,523",580,"2,103",72.4204
,三興村,32,313,609,954,11,965,0,965,310,"1,275",75.6863
,東興村,8,119,233,360,7,367,0,367,158,525,69.9048
,鎮北村,29,258,526,813,16,829,0,829,222,"1,051",78.8773
,北斗村,182,"1,132","2,321","3,635",42,"3,677",1,"3,678","1,352","5,030",73.1014
,?福村,65,605,985,"1,655",27,"1,682",0,"1,682",622,"2,304",73.0035
,福樂村,210,"1,499","2,889","4,598",32,"4,630",0,"4,630","1,616","6,246",74.1274
,大崎村,60,572,"1,050","1,682",18,"1,700",0,"1,700",619,"2,319",73.3075
,秀林村,75,518,"1,245","1,838",14,"1,852",0,"1,852",648,"2,500",74.0800
,松山村,43,351,714,"1,108",28,"1,136",0,"1,136",522,"1,658",68.5163
,興中村,45,412,858,"1,315",14,"1,329",0,"1,329",480,"1,809",73.4660
,興南村,78,568,"1,236","1,882",28,"1,910",1,"1,911",781,"2,692",70.9510
,金興村,103,739,"1,295","2,137",18,"2,155",0,"2,155",742,"2,897",74.3873
,福興村,64,394,"1,006","1,464",13,"1,477",0,"1,477",474,"1,951",75.7048
,文隆村,70,591,"1,085","1,746",26,"1,772",0,"1,772",573,"2,345",75.5650
,山中村,94,732,"1,772","2,598",31,"2,629",0,"2,629",841,"3,470",75.7637
,中央村,31,204,683,918,11,929,0,929,329,"1,258",73.8474
　溪口鄉,,304,"2,305","6,366","8,975",99,"9,074",0,"9,074","3,434","12,508",72.5456
,溪東村,30,283,615,928,13,941,0,941,304,"1,245",75.5823
,溪西村,19,152,315,486,6,492,0,492,156,648,75.9259
,溪北村,22,135,322,479,2,481,0,481,183,664,72.4398
,柳溝村,39,236,636,911,11,922,0,922,310,"1,232",74.8377
,疊溪村,22,176,544,742,8,750,0,750,270,"1,020",73.5294
,妙崙村,15,142,322,479,8,487,0,487,187,674,72.2552
,坪頂村,26,145,442,613,6,619,0,619,224,843,73.4282
,柴林村,9,120,377,506,4,510,0,510,236,746,68.3646
,林腳村,17,103,384,504,10,514,0,514,252,766,67.1018
,美南村,25,176,609,810,8,818,0,818,305,"1,123",72.8406
,美北村,25,185,493,703,10,713,0,713,257,970,73.5052
,本厝村,22,194,449,665,7,672,0,672,254,926,72.5702
,游西村,7,101,366,474,3,477,0,477,207,684,69.7368
,游東村,26,157,492,675,3,678,0,678,289,967,70.1138
　新港鄉,,628,"4,878","13,732","19,238",212,"19,450",0,"19,450","7,011","26,461",73.5044
,宮前村,58,561,"1,044","1,663",11,"1,674",0,"1,674",438,"2,112",79.2614
,宮後村,34,292,747,"1,073",14,"1,087",0,"1,087",433,"1,520",71.5132
,大興村,36,284,740,"1,060",12,"1,072",0,"1,072",328,"1,400",76.5714
,福德村,30,347,747,"1,124",12,"1,136",0,"1,136",423,"1,559",72.8672
,古民村,25,186,709,920,8,928,0,928,353,"1,281",72.4434
,中庄村,28,241,845,"1,114",25,"1,139",0,"1,139",396,"1,535",74.2020
,大潭村,45,241,841,"1,127",19,"1,146",0,"1,146",431,"1,577",72.6696
,西庄村,21,191,412,624,8,632,0,632,277,909,69.5270
,埤子村,10,85,265,360,3,363,0,363,168,531,68.3616
,南崙村,16,70,566,652,4,656,0,656,237,893,73.4602
,北崙村,7,39,257,303,2,305,0,305,152,457,66.7396
,海瀛村,9,95,252,356,3,359,0,359,116,475,75.5789
,月眉村,41,267,928,"1,236",11,"1,247",0,"1,247",381,"1,628",76.5971
,月潭村,30,245,807,"1,082",11,"1,093",0,"1,093",428,"1,521",71.8606
,溪北村,23,248,697,968,11,979,0,979,320,"1,299",75.3657
,菜公村,37,185,452,674,7,681,0,681,253,934,72.9122
,中洋村,34,204,498,736,3,739,0,739,243,982,75.2546
,三間村,44,310,691,"1,045",13,"1,058",0,"1,058",337,"1,395",75.8423
,安和村,20,140,509,669,13,682,0,682,299,981,69.5209
,潭大村,23,174,566,763,13,776,0,776,323,"1,099",70.6096
,南港村,27,206,496,729,1,730,0,730,282,"1,012",72.1344
,板頭村,13,110,260,383,3,386,0,386,153,539,71.6141
,共和村,17,157,403,577,5,582,0,582,240,822,70.8029
　六腳鄉,,412,"3,666","9,667","13,745",201,"13,946",0,"13,946","6,182","20,128",69.2866
