第15任總統副總統選舉候選人在新竹市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"14,103","102,725","144,274","261,102","3,423","264,525",8,"264,533","80,812","345,345",76.5973
　東區,,"6,914","50,693","65,607","123,214","1,693","124,907",4,"124,911","36,003","160,914",77.6235
,育賢里,32,290,355,677,9,686,0,686,846,"1,532",44.7781
,親仁里,34,326,328,688,12,700,0,700,196,896,78.1250
,榮光里、親仁里,25,333,357,715,12,727,0,727,283,"1,010",71.9802
,東門里,14,133,264,411,5,416,0,416,115,531,78.3427
,成功里,21,169,260,450,6,456,0,456,160,616,74.0260
,中正里,18,144,257,419,3,422,0,422,116,538,78.4387
,錦華里,76,582,668,"1,326",23,"1,349",1,"1,350",408,"1,758",76.7349
,文華里,187,"1,437","1,742","3,366",38,"3,404",0,"3,404",941,"4,345",78.3429
,復中里,136,"1,288","1,655","3,079",41,"3,120",0,"3,120",889,"4,009",77.8249
,復興里,196,"1,422","1,953","3,571",40,"3,611",0,"3,611","1,090","4,701",76.8134
,三民里,159,"1,358","1,926","3,443",47,"3,490",0,"3,490","1,018","4,508",77.4179
,東園里,267,"1,529","2,541","4,337",64,"4,401",2,"4,403","1,114","5,517",79.7716
,公園里,123,943,"1,221","2,287",36,"2,323",0,"2,323",707,"3,030",76.6667
,建華里,88,697,962,"1,747",33,"1,780",0,"1,780",548,"2,328",76.4605
,東山里,132,"1,085","1,163","2,380",36,"2,416",0,"2,416",635,"3,051",79.1872
,綠水里,281,"1,871","2,370","4,522",60,"4,582",0,"4,582","1,303","5,885",77.8590
,東勢里,107,646,"1,000","1,753",25,"1,778",0,"1,778",458,"2,236",79.5170
,光復里,96,702,"1,210","2,008",32,"2,040",0,"2,040",537,"2,577",79.1618
,前溪里,112,709,"1,210","2,031",29,"2,060",0,"2,060",609,"2,669",77.1825
,水源里,123,864,"1,485","2,472",34,"2,506",0,"2,506",731,"3,237",77.4174
,千甲里,104,691,754,"1,549",23,"1,572",0,"1,572",466,"2,038",77.1344
,豐功里,191,"1,507","1,581","3,279",52,"3,331",0,"3,331",837,"4,168",79.9184
,武功里,185,"1,906",964,"3,055",49,"3,104",0,"3,104",779,"3,883",79.9382
,軍功里,104,"1,109",812,"2,025",26,"2,051",0,"2,051",597,"2,648",77.4547
,立功里,33,422,189,644,7,651,0,651,233,884,73.6425
,建功里,158,"1,736",874,"2,768",37,"2,805",0,"2,805",715,"3,520",79.6875
,光明里,122,"1,092",998,"2,212",38,"2,250",0,"2,250",642,"2,892",77.8008
,龍山里,443,"2,210","4,049","6,702",91,"6,793",1,"6,794","1,564","8,358",81.2754
,科園里,270,"2,199","2,442","4,911",71,"4,982",0,"4,982","1,105","6,087",81.8466
,埔頂里,211,"1,234","2,433","3,878",62,"3,940",0,"3,940",971,"4,911",80.2281
,新莊里,251,"1,630","2,079","3,960",55,"4,015",0,"4,015","1,131","5,146",78.0218
,關新里,241,917,"1,834","2,992",52,"3,044",0,"3,044",661,"3,705",82.1592
,關東里,223,"1,552","1,732","3,507",47,"3,554",0,"3,554","1,005","4,559",77.9557
,金山里,197,"1,676","1,745","3,618",39,"3,657",0,"3,657","1,214","4,871",75.0770
,仙水里,227,"1,313","1,703","3,243",39,"3,282",0,"3,282",856,"4,138",79.3137
,仙宮里,66,362,528,956,13,969,0,969,232,"1,201",80.6828
,關帝里,16,115,240,371,4,375,0,375,111,486,77.1605
,南門里,25,176,327,528,7,535,0,535,166,701,76.3195
,南市里,23,197,419,639,8,647,0,647,216,863,74.9710
,福德里,46,446,567,"1,059",16,"1,075",0,"1,075",321,"1,396",77.0057
,振興里,221,"1,543","2,182","3,946",37,"3,983",0,"3,983","1,362","5,345",74.5182
,新興里,112,848,"1,274","2,234",25,"2,259",0,"2,259",639,"2,898",77.9503
,下竹里、寺前里,46,315,474,835,14,849,0,849,299,"1,148",73.9547
,竹蓮里,20,173,341,534,10,544,0,544,175,719,75.6606
,頂竹里,102,744,"1,260","2,106",31,"2,137",0,"2,137",635,"2,772",77.0924
,南大里,48,362,661,"1,071",16,"1,087",0,"1,087",311,"1,398",77.7539
,新光里,124,944,"1,380","2,448",33,"2,481",0,"2,481",830,"3,311",74.9320
,光鎮里,128,975,"1,423","2,526",34,"2,560",0,"2,560",774,"3,334",76.7846
,高峰里,197,"1,685","2,223","4,105",50,"4,155",0,"4,155","1,355","5,510",75.4083
,湖濱里,140,"1,050","1,480","2,670",36,"2,706",0,"2,706",699,"3,405",79.4714
,柴橋里,194,"1,544","2,029","3,767",48,"3,815",0,"3,815","1,093","4,908",77.7302
,明湖里,219,"1,492","1,683","3,394",38,"3,432",0,"3,432","1,305","4,737",72.4509
　北區,,"4,685","35,256","50,702","90,643","1,147","91,790",4,"91,794","29,070","120,864",75.9449
,西門里、中央里,30,225,482,737,12,749,0,749,243,992,75.5040
,潛園里,18,200,338,556,5,561,0,561,168,729,76.9547
,石坊里、興南里,16,183,327,526,6,532,0,532,159,691,76.9899
,仁德里,20,176,340,536,9,545,0,545,142,687,79.3304
,崇禮里,51,237,527,815,13,828,0,828,279,"1,107",74.7967
,興南里,39,292,533,864,9,873,0,873,281,"1,154",75.6499
,育英里,143,901,"1,583","2,627",34,"2,661",0,"2,661",793,"3,454",77.0411
,台溪里,36,445,601,"1,082",18,"1,100",0,"1,100",475,"1,575",69.8413
,曲溪里,213,"1,476","1,875","3,564",40,"3,604",0,"3,604","1,388","4,992",72.1955
,西雅里,107,735,"1,313","2,155",37,"2,192",0,"2,192",630,"2,822",77.6754
,客雅里,62,446,776,"1,284",22,"1,306",0,"1,306",400,"1,706",76.5533
,中雅里,127,"1,306","1,038","2,471",33,"2,504",0,"2,504",714,"3,218",77.8123
,南勢里,132,705,"1,769","2,606",35,"2,641",0,"2,641",666,"3,307",79.8609
,南勢里、大鵬里,30,269,416,715,6,721,0,721,280,"1,001",72.0280
,大同里,34,243,307,584,8,592,0,592,160,752,78.7234
,中山里,31,165,398,594,7,601,0,601,178,779,77.1502
,中興里,26,188,356,570,7,577,0,577,155,732,78.8251
,新民里,64,395,673,"1,132",20,"1,152",0,"1,152",358,"1,510",76.2914
,長和里,46,345,626,"1,017",19,"1,036",0,"1,036",328,"1,364",75.9531
,北門里,30,224,444,698,15,713,0,713,230,943,75.6098
,民富里,166,"1,186","2,026","3,378",42,"3,420",0,"3,420","1,293","4,713",72.5652
,磐石里,171,"1,434","2,351","3,956",44,"4,000",0,"4,000","1,192","5,192",77.0416
,新雅里,156,"1,093","1,950","3,199",32,"3,231",0,"3,231","1,091","4,322",74.7571
,文雅里,157,"1,127","1,698","2,982",27,"3,009",0,"3,009",851,"3,860",77.9534
,水田里,117,833,"1,234","2,184",23,"2,207",0,"2,207",676,"2,883",76.5522
,光田里,74,632,883,"1,589",21,"1,610",0,"1,610",465,"2,075",77.5904
,光華里,138,"1,101","1,378","2,617",31,"2,648",0,"2,648","1,389","4,037",65.5933
,金華里,174,"1,424","1,974","3,572",40,"3,612",0,"3,612","1,072","4,684",77.1136
,湳雅里,111,849,"1,060","2,020",39,"2,059",0,"2,059",573,"2,632",78.2295
,金雅里,86,647,993,"1,726",18,"1,744",0,"1,744",389,"2,133",81.7628
,湳中里,293,"2,079","2,482","4,854",69,"4,923",1,"4,924","1,354","6,278",78.4167
,舊社里,228,"1,666","2,448","4,342",60,"4,402",0,"4,402","1,333","5,735",76.7568
,金竹里,253,"1,751","2,261","4,265",45,"4,310",0,"4,310","1,313","5,623",76.6495
,武陵里,178,"2,330",980,"3,488",37,"3,525",0,"3,525",994,"4,519",78.0040
,福林里,152,"1,234","1,482","2,868",40,"2,908",0,"2,908",821,"3,729",77.9834
,境福里,200,"1,358","1,932","3,490",46,"3,536",0,"3,536","1,032","4,568",77.4081
,士林里,79,397,831,"1,307",16,"1,323",0,"1,323",363,"1,686",78.4698
,古賢里,25,189,439,653,5,658,0,658,170,828,79.4686
,南寮里,193,"1,518","2,308","4,019",41,"4,060",0,"4,060","1,540","5,600",72.5000
,康樂里,111,795,"1,242","2,148",16,"2,164",0,"2,164",651,"2,815",76.8739
,中寮里,130,897,"1,428","2,455",33,"2,488",3,"2,491",852,"3,343",74.4242
,海濱里,152,"1,016","1,585","2,753",40,"2,793",0,"2,793","1,030","3,823",73.0578
,港北里,71,400,768,"1,239",19,"1,258",0,"1,258",441,"1,699",74.0436
,舊港里,15,144,247,406,8,414,0,414,158,572,72.3776
　香山區,,"2,504","16,776","27,965","47,245",583,"47,828",0,"47,828","15,739","63,567",75.2403
,頂埔里,211,"1,247","2,137","3,595",37,"3,632",0,"3,632","1,214","4,846",74.9484
,頂福里,168,"1,162","1,809","3,139",28,"3,167",0,"3,167",951,"4,118",76.9063
,中埔里,100,823,"1,264","2,187",23,"2,210",0,"2,210",625,"2,835",77.9541
,牛埔里,179,"1,199","1,732","3,110",38,"3,148",0,"3,148","1,265","4,413",71.3347
,埔前里,134,767,"1,501","2,402",30,"2,432",0,"2,432",673,"3,105",78.3253
,樹下里,70,388,"1,126","1,584",26,"1,610",0,"1,610",462,"2,072",77.7027
,浸水里,100,505,"1,148","1,753",19,"1,772",0,"1,772",526,"2,298",77.1105
,虎林里,82,543,996,"1,621",29,"1,650",0,"1,650",552,"2,202",74.9319
,虎山里,194,"1,253","2,331","3,778",52,"3,830",0,"3,830","1,358","5,188",73.8242
,港南里,98,591,"1,206","1,895",19,"1,914",0,"1,914",599,"2,513",76.1639
,東香里,159,"1,274","1,489","2,922",42,"2,964",0,"2,964",835,"3,799",78.0205
,香村里,136,"1,032","1,331","2,499",32,"2,531",0,"2,531",838,"3,369",75.1262
,香山里,191,"1,071","1,829","3,091",32,"3,123",0,"3,123",992,"4,115",75.8931
,大庄里,99,614,"1,334","2,047",22,"2,069",0,"2,069",642,"2,711",76.3187
,美山里,26,241,505,772,14,786,0,786,310,"1,096",71.7153
,朝山里,89,538,911,"1,538",12,"1,550",0,"1,550",491,"2,041",75.9432
,海山里,95,688,928,"1,711",23,"1,734",0,"1,734",572,"2,306",75.1951
,鹽水里,61,348,614,"1,023",15,"1,038",0,"1,038",333,"1,371",75.7112
,內湖里,152,"1,109","1,700","2,961",39,"3,000",0,"3,000","1,162","4,162",72.0807
,南港里,21,160,386,567,8,575,0,575,201,776,74.0979
,中隘里,58,518,643,"1,219",11,"1,230",0,"1,230",506,"1,736",70.8525
,南隘里,27,229,304,560,14,574,0,574,180,754,76.1273
,大湖里,32,228,395,655,8,663,0,663,193,856,77.4533
,茄苳里,22,248,346,616,10,626,0,626,259,885,70.7345
