第15任總統副總統選舉候選人在新竹縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"18,435","154,224","152,380","325,039","3,970","329,009",2,"329,011","109,038","438,049",75.1078
　竹北市,,"6,576","42,591","56,892","106,059","1,364","107,423",1,"107,424","30,995","138,419",77.6071
,鹿場里,536,"2,938","4,071","7,545",104,"7,649",0,"7,649","1,825","9,474",80.7368
,東平里,615,"2,911","5,044","8,570",125,"8,695",0,"8,695","2,105","10,800",80.5093
,中興里,367,"2,143","3,075","5,585",95,"5,680",0,"5,680","1,374","7,054",80.5217
,隘口里,134,829,"1,041","2,004",27,"2,031",0,"2,031",514,"2,545",79.8035
,東海里,95,"1,115",929,"2,139",21,"2,160",0,"2,160",794,"2,954",73.1212
,東興里,292,"1,698","2,740","4,730",55,"4,785",0,"4,785","1,269","6,054",79.0387
,北興里,251,"1,076","2,047","3,374",40,"3,414",0,"3,414",883,"4,297",79.4508
,十興里,376,"1,788","2,691","4,855",59,"4,914",0,"4,914","1,243","6,157",79.8116
,興安里,155,"1,111","1,220","2,486",25,"2,511",0,"2,511",704,"3,215",78.1026
,文化里,153,"1,092","1,224","2,469",32,"2,501",0,"2,501",649,"3,150",79.3968
,斗崙里,314,"1,962","2,594","4,870",67,"4,937",0,"4,937","1,218","6,155",80.2112
,中崙里,266,"1,869","2,391","4,526",63,"4,589",0,"4,589","1,110","5,699",80.5229
,北崙里,185,"1,242","1,348","2,775",41,"2,816",0,"2,816",815,"3,631",77.5544
,新崙里,284,"1,856","2,457","4,597",65,"4,662",0,"4,662","1,348","6,010",77.5707
,竹北里,321,"2,123","2,519","4,963",62,"5,025",0,"5,025","1,606","6,631",75.7804
,竹仁里,358,"3,055","3,037","6,450",75,"6,525",1,"6,526","1,938","8,464",77.0912
,福德里,118,"1,102","1,145","2,365",20,"2,385",0,"2,385",755,"3,140",75.9554
,竹義里,210,"1,792","1,956","3,958",35,"3,993",0,"3,993","1,658","5,651",70.6601
,泰和里,239,"1,885","1,964","4,088",55,"4,143",0,"4,143","1,405","5,548",74.6756
,新社里,310,"2,040","2,511","4,861",61,"4,922",0,"4,922","1,668","6,590",74.6889
,新國里,248,"1,620","2,346","4,214",48,"4,262",0,"4,262","1,336","5,598",76.1343
,聯興里,195,"1,392","1,689","3,276",38,"3,314",0,"3,314",997,"4,311",76.8731
,麻園里,86,541,791,"1,418",22,"1,440",0,"1,440",479,"1,919",75.0391
,溪州里,70,740,994,"1,804",23,"1,827",0,"1,827",553,"2,380",76.7647
,新庄里,38,317,403,758,12,770,0,770,253,"1,023",75.2688
,白地里,82,520,950,"1,552",26,"1,578",0,"1,578",499,"2,077",75.9750
,新港里,41,228,600,869,14,883,0,883,293,"1,176",75.0850
,大眉里,60,497,682,"1,239",16,"1,255",0,"1,255",435,"1,690",74.2604
,大義里,57,334,739,"1,130",11,"1,141",0,"1,141",412,"1,553",73.4707
,尚義里,53,349,794,"1,196",13,"1,209",0,"1,209",410,"1,619",74.6757
,崇義里,67,426,900,"1,393",14,"1,407",0,"1,407",447,"1,854",75.8900
　竹東鎮,,"3,202","29,892","23,445","56,539",677,"57,216",0,"57,216","19,949","77,165",74.1476
,上坪里,12,138,63,213,2,215,0,215,88,303,70.9571
,瑞峰里,10,156,116,282,5,287,0,287,111,398,72.1106
,軟橋里,15,167,89,271,1,272,0,272,97,369,73.7127
,員崠里,84,926,540,"1,550",16,"1,566",0,"1,566",593,"2,159",72.5336
,上?里,367,"3,616","2,475","6,458",63,"6,521",0,"6,521","2,391","8,912",73.1710
,東寧里,136,"1,334",866,"2,336",27,"2,363",0,"2,363",808,"3,171",74.5191
,中正里,89,739,604,"1,432",21,"1,453",0,"1,453",455,"1,908",76.1530
,大鄉里,154,"1,737","1,278","3,169",45,"3,214",0,"3,214","1,189","4,403",72.9957
,中山里,77,719,446,"1,242",14,"1,256",0,"1,256",391,"1,647",76.2599
,南華里,40,406,317,763,5,768,0,768,259,"1,027",74.7809
,東華里,21,281,211,513,3,516,0,516,151,667,77.3613
,商華里,98,"1,136",698,"1,932",19,"1,951",0,"1,951","1,031","2,982",65.4259
,竹東里,41,491,476,"1,008",9,"1,017",0,"1,017",287,"1,304",77.9908
,忠孝里,56,590,455,"1,101",18,"1,119",0,"1,119",395,"1,514",73.9102
,?林里,149,"1,559","1,027","2,735",37,"2,772",0,"2,772",938,"3,710",74.7170
,仁愛里,121,"1,301",946,"2,368",29,"2,397",0,"2,397",772,"3,169",75.6390
,榮樂里,62,582,374,"1,018",14,"1,032",0,"1,032",320,"1,352",76.3314
,榮華里,248,"2,781","1,980","5,009",81,"5,090",0,"5,090","1,579","6,669",76.3233
,五豐里,294,"2,629","2,096","5,019",54,"5,073",0,"5,073","2,129","7,202",70.4388
,陸豐里,18,229,175,422,3,425,0,425,124,549,77.4135
,三重里,277,"2,204","1,992","4,473",46,"4,519",0,"4,519","1,561","6,080",74.3257
,二重里,539,"3,642","3,884","8,065",95,"8,160",0,"8,160","2,797","10,957",74.4729
,頭重里,186,"1,581","1,498","3,265",49,"3,314",0,"3,314",955,"4,269",77.6294
,員山里,84,721,640,"1,445",15,"1,460",0,"1,460",403,"1,863",78.3682
,柯湖里,24,227,199,450,6,456,0,456,125,581,78.4854
　新埔鎮,,993,"9,446","10,182","20,621",249,"20,870",0,"20,870","7,180","28,050",74.4029
,新埔里,26,372,317,715,5,720,0,720,223,943,76.3521
,新生里,14,189,229,432,1,433,0,433,132,565,76.6372
,新民里,49,407,308,764,8,772,0,772,254,"1,026",75.2437
,田新里,87,961,848,"1,896",27,"1,923",0,"1,923",600,"2,523",76.2188
,旱坑里,63,635,553,"1,251",11,"1,262",0,"1,262",489,"1,751",72.0731
,五埔里,60,633,656,"1,349",16,"1,365",0,"1,365",552,"1,917",71.2050
,四座里,131,"1,010","1,267","2,408",21,"2,429",0,"2,429",798,"3,227",75.2711
,照門里,40,409,487,936,10,946,0,946,420,"1,366",69.2533
,清水里,7,123,189,319,3,322,0,322,90,412,78.1553
,鹿鳴里,18,196,310,524,5,529,0,529,175,704,75.1420
,新北里,17,179,240,436,6,442,0,442,131,573,77.1379
,巨埔里,29,325,490,844,15,859,0,859,259,"1,118",76.8336
,內立里,23,373,374,770,14,784,0,784,299,"1,083",72.3915
,寶石里,23,288,316,627,6,633,0,633,214,847,74.7344
,文山里,164,"1,471","1,401","3,036",41,"3,077",0,"3,077","1,086","4,163",73.9130
,上寮里,66,563,666,"1,295",17,"1,312",0,"1,312",470,"1,782",73.6251
,下寮里,107,790,916,"1,813",25,"1,838",0,"1,838",638,"2,476",74.2326
,南平里,35,323,374,732,13,745,0,745,218,963,77.3624
,北平里,34,199,241,474,5,479,0,479,132,611,78.3961
　關西鎮,,772,"9,016","7,673","17,461",214,"17,675",1,"17,676","6,000","23,676",74.6537
,東興里,11,187,152,350,1,351,0,351,98,449,78.1737
,西安里,77,832,515,"1,424",14,"1,438",0,"1,438",400,"1,838",78.2372
,南雄里,22,250,240,512,8,520,0,520,155,675,77.0370
,北斗里,111,"1,373","1,100","2,584",28,"2,612",1,"2,613",883,"3,496",74.7140
,北山里,27,282,261,570,10,580,0,580,178,758,76.5172
,仁安里,36,331,347,714,12,726,0,726,262,988,73.4818
,南山里,32,369,334,735,15,750,0,750,254,"1,004",74.7012
,東安里,114,"1,300","1,155","2,569",30,"2,599",0,"2,599",934,"3,533",73.5635
,東山里,30,288,296,614,7,621,0,621,188,809,76.7614
,東光里,30,454,418,902,13,915,0,915,343,"1,258",72.7345
,南新里,32,347,231,610,6,616,0,616,248,864,71.2963
,新富里,20,149,186,355,5,360,0,360,157,517,69.6325
,玉山里,12,141,124,277,6,283,0,283,157,440,64.3182
,金山里,12,218,149,379,2,381,0,381,156,537,70.9497
,錦山里,21,358,235,614,8,622,0,622,273,895,69.4972
,大同里,25,266,314,605,11,616,0,616,165,781,78.8732
,石光里,56,667,586,"1,309",12,"1,321",0,"1,321",424,"1,745",75.7020
,東平里,31,337,311,679,9,688,0,688,250,938,73.3475
,上林里,24,332,238,594,6,600,0,600,187,787,76.2389
,新力里,21,224,184,429,2,431,0,431,113,544,79.2279
,南和里,28,311,297,636,9,645,0,645,175,820,78.6585
　湖口鄉,,"2,630","22,354","19,949","44,933",529,"45,462",0,"45,462","16,603","62,065",73.2490
,和興村,84,930,"1,027","2,041",18,"2,059",0,"2,059",721,"2,780",74.0647
,東興村,180,"1,328","1,390","2,898",26,"2,924",0,"2,924","1,077","4,001",73.0817
,德盛村,183,"1,554","1,519","3,256",45,"3,301",0,"3,301","1,311","4,612",71.5742
,愛勢村,158,"1,428","1,330","2,916",37,"2,953",0,"2,953",866,"3,819",77.3239
,仁勢村,38,299,298,635,7,642,0,642,197,839,76.5197
,孝勢村,45,497,405,947,12,959,0,959,258,"1,217",78.8003
,中勢村,148,"1,018","1,058","2,224",26,"2,250",0,"2,250",671,"2,921",77.0284
,中正村,126,"1,073","1,080","2,279",21,"2,300",0,"2,300",656,"2,956",77.8078
,信勢村,232,"1,658","1,652","3,542",34,"3,576",0,"3,576","1,470","5,046",70.8680
,信義村,154,"1,213","1,108","2,475",30,"2,505",0,"2,505",810,"3,315",75.5656
,波羅村,90,668,749,"1,507",26,"1,533",0,"1,533",605,"2,138",71.7025
,長嶺村,131,"1,090",966,"2,187",22,"2,209",0,"2,209",854,"3,063",72.1188
,長安村,43,333,414,790,13,803,0,803,257,"1,060",75.7547
,湖口村,116,"1,006",902,"2,024",28,"2,052",0,"2,052",643,"2,695",76.1410
,湖鏡村,85,978,659,"1,722",18,"1,740",0,"1,740",537,"2,277",76.4163
,湖南村,64,606,426,"1,096",10,"1,106",0,"1,106",369,"1,475",74.9831
,中興村,263,"2,248","1,522","4,033",51,"4,084",0,"4,084","1,744","5,828",70.0755
,鳳凰村,189,"1,651","1,533","3,373",55,"3,428",0,"3,428","1,507","4,935",69.4630
,勝利村,161,"1,528","1,070","2,759",28,"2,787",0,"2,787","1,188","3,975",70.1132
,鳳山村,140,"1,248",841,"2,229",22,"2,251",0,"2,251",862,"3,113",72.3097
　新豐鄉,,"1,866","14,817","15,881","32,564",389,"32,953",0,"32,953","11,761","44,714",73.6973
,福興村,43,315,394,752,12,764,0,764,276,"1,040",73.4615
,青埔村,61,618,621,"1,300",17,"1,317",0,"1,317",476,"1,793",73.4523
,中崙村,127,"1,032","1,024","2,183",30,"2,213",0,"2,213",882,"3,095",71.5024
,瑞興村,68,502,649,"1,219",18,"1,237",0,"1,237",529,"1,766",70.0453
,後湖村,75,593,596,"1,264",19,"1,283",0,"1,283",477,"1,760",72.8977
,坡頭村,13,195,371,579,7,586,0,586,235,821,71.3764
,埔和村,114,628,"1,182","1,924",16,"1,940",0,"1,940",729,"2,669",72.6864
,新豐村,84,499,898,"1,481",24,"1,505",0,"1,505",523,"2,028",74.2110
,員山村,109,890,773,"1,772",24,"1,796",0,"1,796",662,"2,458",73.0675
,忠孝村,146,"1,315","1,136","2,597",27,"2,624",0,"2,624",787,"3,411",76.9276
,山崎村,194,"1,484","1,488","3,166",34,"3,200",0,"3,200",989,"4,189",76.3905
,上坑村,51,523,496,"1,070",20,"1,090",0,"1,090",389,"1,479",73.6984
,鳳坑村,29,319,375,723,12,735,0,735,271,"1,006",73.0616
,重興村,194,"1,680","1,617","3,491",37,"3,528",0,"3,528","1,479","5,007",70.4614
,崎頂村,103,939,903,"1,945",16,"1,961",0,"1,961",665,"2,626",74.6763
,松林村,192,"1,526","1,408","3,126",30,"3,156",0,"3,156","1,048","4,204",75.0714
,松柏村,263,"1,759","1,950","3,972",46,"4,018",0,"4,018","1,344","5,362",74.9347
　芎林鄉,,712,"6,554","5,393","12,659",172,"12,831",0,"12,831","4,036","16,867",76.0716
,華龍村,6,173,107,286,3,289,0,289,103,392,73.7245
,五龍村,15,232,132,379,5,384,0,384,110,494,77.7328
,秀湖村,43,394,253,690,13,703,0,703,210,913,76.9989
,永興村,10,174,108,292,3,295,0,295,108,403,73.2010
,石潭村,101,990,786,"1,877",18,"1,895",0,"1,895",676,"2,571",73.7067
