第15任總統副總統選舉候選人在桃園市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"63,132","529,749","718,260","1,311,141","14,066","1,325,207",55,"1,325,262","455,493","1,780,755",74.4183
　桃園區,,"12,661","102,460","146,904","262,025","2,746","264,771",1,"264,772","90,615","355,387",74.5022
,三元里,131,"1,072","1,433","2,636",24,"2,660",0,"2,660",919,"3,579",74.3224
,三民里,173,"1,417","1,529","3,119",40,"3,159",0,"3,159",903,"4,062",77.7696
,大有里,238,"1,863","2,238","4,339",39,"4,378",0,"4,378","1,590","5,968",73.3579
,大業里,179,"1,413","1,892","3,484",33,"3,517",0,"3,517","1,243","4,760",73.8866
,大興里,165,"1,427","2,211","3,803",28,"3,831",0,"3,831","1,489","5,320",72.0113
,汴洲里,201,"1,333","2,411","3,945",40,"3,985",0,"3,985","1,346","5,331",74.7515
,忠義里,129,988,"1,328","2,445",9,"2,454",0,"2,454",984,"3,438",71.3787
,青溪里,149,"1,038","1,956","3,143",37,"3,180",0,"3,180",966,"4,146",76.7004
,春日里,240,"1,564","2,432","4,236",43,"4,279",0,"4,279","1,656","5,935",72.0977
,會稽里,332,"2,821","3,315","6,468",49,"6,517",1,"6,518","2,510","9,028",72.1865
,萬壽里,23,236,421,680,7,687,0,687,261,948,72.4684
,福元里,161,"1,223","1,608","2,992",37,"3,029",0,"3,029","1,083","4,112",73.6625
,寶山里,291,"2,309","3,086","5,686",61,"5,747",0,"5,747","2,295","8,042",71.4623
,大林里,247,"1,695","2,895","4,837",43,"4,880",0,"4,880","1,739","6,619",73.7271
,大樹里,122,"1,021","1,654","2,797",30,"2,827",0,"2,827",977,"3,804",74.3165
,大豐里,175,"1,288","2,145","3,608",29,"3,637",0,"3,637","1,238","4,875",74.6051
,建國里,154,"1,471","2,036","3,661",33,"3,694",0,"3,694","1,320","5,014",73.6737
,雲林里,201,"1,762","2,480","4,443",53,"4,496",0,"4,496","1,325","5,821",77.2376
,福安里,140,"1,189","1,725","3,054",38,"3,092",0,"3,092",948,"4,040",76.5347
,福林里,183,"1,695","2,534","4,412",34,"4,446",0,"4,446","1,246","5,692",78.1096
,豐林里,214,"1,739","2,642","4,595",39,"4,634",0,"4,634","1,433","6,067",76.3804
,中和里,52,310,627,989,10,999,0,999,341,"1,340",74.5522
,中興里,166,"1,371","2,461","3,998",44,"4,042",0,"4,042","1,237","5,279",76.5675
,文化里,38,222,327,587,6,593,0,593,215,808,73.3911
,文昌里,22,178,377,577,4,581,0,581,193,774,75.0646
,文明里,48,381,576,"1,005",10,"1,015",0,"1,015",296,"1,311",77.4218
,北門里,44,464,764,"1,272",6,"1,278",0,"1,278",400,"1,678",76.1621
,民生里,52,366,625,"1,043",10,"1,053",0,"1,053",359,"1,412",74.5751
,永興里,66,406,828,"1,300",10,"1,310",0,"1,310",465,"1,775",73.8028
,光興里,134,"1,255","2,146","3,535",29,"3,564",0,"3,564",974,"4,538",78.5368
,西門里,62,435,583,"1,080",14,"1,094",0,"1,094",432,"1,526",71.6907
,西湖里,53,430,618,"1,101",14,"1,115",0,"1,115",302,"1,417",78.6874
,武陵里,46,406,653,"1,105",14,"1,119",0,"1,119",459,"1,578",70.9125
,長美里,16,225,476,717,9,726,0,726,251,977,74.3091
,南門里,197,"1,613","2,410","4,220",57,"4,277",0,"4,277","1,419","5,696",75.0878
,南華里,48,347,624,"1,019",9,"1,028",0,"1,028",350,"1,378",74.6009
,中山里,272,"1,902","2,738","4,912",46,"4,958",0,"4,958","1,509","6,467",76.6662
,中平里,167,"1,371","1,827","3,365",43,"3,408",0,"3,408","1,108","4,516",75.4650
,中正里,195,"1,749","2,325","4,269",49,"4,318",0,"4,318","1,298","5,616",76.8875
,中成里,123,"1,325","2,052","3,500",33,"3,533",0,"3,533","1,040","4,573",77.2578
,中信里,175,"1,638","2,213","4,026",44,"4,070",0,"4,070","1,458","5,528",73.6252
,中原里,184,"1,415","1,809","3,408",35,"3,443",0,"3,443","1,000","4,443",77.4927
,中泰里,160,"1,335","1,552","3,047",47,"3,094",0,"3,094",828,"3,922",78.8883
,中聖里,214,"1,767","1,859","3,840",39,"3,879",0,"3,879","1,384","5,263",73.7032
,中路里,130,"1,174","1,558","2,862",33,"2,895",0,"2,895",939,"3,834",75.5086
,中德里,227,"1,842","2,735","4,804",47,"4,851",0,"4,851","1,456","6,307",76.9145
,文中里,111,801,"1,243","2,155",26,"2,181",0,"2,181",658,"2,839",76.8228
,玉山里,146,"1,344","2,142","3,632",36,"3,668",0,"3,668","1,135","4,803",76.3689
,泰山里,142,"1,052","1,562","2,756",41,"2,797",0,"2,797",819,"3,616",77.3507
,龍山里,101,"1,045","1,273","2,419",29,"2,448",0,"2,448",993,"3,441",71.1421
,龍安里,196,"1,485","2,123","3,804",47,"3,851",0,"3,851","1,252","5,103",75.4654
,龍岡里,199,"1,825","2,149","4,173",40,"4,213",0,"4,213","1,374","5,587",75.4072
,龍祥里,195,"1,528","1,724","3,447",32,"3,479",0,"3,479","1,285","4,764",73.0269
,龍壽里,223,"1,656","2,510","4,389",45,"4,434",0,"4,434","1,506","5,940",74.6465
,龍鳳里,275,"2,218","2,792","5,285",61,"5,346",0,"5,346","3,937","9,283",57.5891
,中埔里,76,502,"1,136","1,714",21,"1,735",0,"1,735",482,"2,217",78.2589
,中寧里,206,"1,771","2,260","4,237",41,"4,278",0,"4,278","1,524","5,802",73.7332
,北埔里,163,"1,280","1,807","3,250",31,"3,281",0,"3,281","1,138","4,419",74.2476
,永安里,147,"1,011","2,115","3,273",42,"3,315",0,"3,315","1,070","4,385",75.5986
,同安里,313,"2,456","3,514","6,283",62,"6,345",0,"6,345","2,189","8,534",74.3497
,同德里,222,"1,836","2,242","4,300",61,"4,361",0,"4,361","1,370","5,731",76.0949
,自強里,295,"2,171","2,891","5,357",59,"5,416",0,"5,416","1,758","7,174",75.4948
,西埔里,88,660,"1,515","2,263",25,"2,288",0,"2,288",725,"3,013",75.9376
,明德里,107,977,"1,180","2,264",35,"2,299",0,"2,299",782,"3,081",74.6186
,東埔里,109,"1,136","2,076","3,321",46,"3,367",0,"3,367","1,152","4,519",74.5076
,長安里,108,903,"1,648","2,659",24,"2,683",0,"2,683",788,"3,471",77.2976
,長德里,190,"1,314","2,104","3,608",34,"3,642",0,"3,642","1,121","4,763",76.4644
,信光里,204,"1,763","2,897","4,864",54,"4,918",0,"4,918","1,758","6,676",73.6669
,南埔里,173,"1,313","2,006","3,492",49,"3,541",0,"3,541","1,084","4,625",76.5622
,莊敬里,299,"2,678","3,156","6,133",57,"6,190",0,"6,190","2,088","8,278",74.7765
,慈文里,206,"1,647","2,508","4,361",52,"4,413",0,"4,413","1,556","5,969",73.9320
,新埔里,304,"2,849","3,625","6,778",62,"6,840",0,"6,840","2,236","9,076",75.3636
,瑞慶里,227,"1,625","2,233","4,085",41,"4,126",0,"4,126","1,563","5,689",72.5259
,寶安里,318,"2,331","2,977","5,626",56,"5,682",0,"5,682","2,071","7,753",73.2878
,寶慶里,229,"1,762","2,348","4,339",43,"4,382",0,"4,382","1,415","5,797",75.5908
,朝陽里,57,489,860,"1,406",16,"1,422",0,"1,422",500,"1,922",73.9854
,成功里,138,"1,164","1,605","2,907",25,"2,932",0,"2,932",867,"3,799",77.1782
,東門里,80,860,"1,186","2,126",24,"2,150",0,"2,150",731,"2,881",74.6269
,東山里,75,517,763,"1,355",21,"1,376",0,"1,376",504,"1,880",73.1915
　中壢區,,"11,902","107,499","126,600","246,001","2,611","248,612",32,"248,644","82,235","330,879",75.1368
,後寮里,170,"1,470","1,742","3,382",33,"3,415",0,"3,415","1,283","4,698",72.6905
,明德里,181,"1,398","1,903","3,482",38,"3,520",0,"3,520","1,057","4,577",76.9063
,至善里,113,"1,345","1,064","2,522",23,"2,545",0,"2,545",949,"3,494",72.8392
,龍慈里,191,"1,684","1,524","3,399",38,"3,437",0,"3,437","1,184","4,621",74.3778
,龍興里,162,"1,372","1,650","3,184",31,"3,215",0,"3,215",970,"4,185",76.8220
,龍德里,148,"1,437","1,510","3,095",22,"3,117",1,"3,118",855,"3,973",78.4546
,龍岡里,157,"1,858","1,486","3,501",30,"3,531",0,"3,531","1,051","4,582",77.0624
,龍東里,173,"2,216","1,200","3,589",39,"3,628",0,"3,628","1,166","4,794",75.6779
,龍昌里,162,"2,007","1,759","3,928",39,"3,967",1,"3,968","1,292","5,260",75.4183
,龍平里,81,"1,429",632,"2,142",27,"2,169",0,"2,169",685,"2,854",75.9986
,仁美里,197,"1,919","1,879","3,995",38,"4,033",0,"4,033","1,327","5,360",75.2425
,仁福里,148,"1,692","1,501","3,341",28,"3,369",0,"3,369","1,275","4,644",72.5452
,華愛里,125,"1,239","1,141","2,505",31,"2,536",0,"2,536",874,"3,410",74.3695
,普仁里,138,"1,264","1,477","2,879",29,"2,908",0,"2,908","1,189","4,097",70.9788
,普忠里,114,"1,042","1,231","2,387",28,"2,415",0,"2,415",836,"3,251",74.2848
,普強里,151,"1,256","1,352","2,759",39,"2,798",0,"2,798",807,"3,605",77.6144
,普慶里,88,871,961,"1,920",17,"1,937",3,"1,940",559,"2,499",77.5110
,信義里,182,"1,381","1,687","3,250",37,"3,287",0,"3,287",913,"4,200",78.2619
,正義里,145,"1,272","1,753","3,170",35,"3,205",0,"3,205",991,"4,196",76.3823
,普義里,135,"1,339","1,408","2,882",32,"2,914",0,"2,914","2,543","5,457",53.3993
,德義里,90,802,994,"1,886",26,"1,912",0,"1,912",570,"2,482",77.0346
,仁義里,142,"1,080","1,544","2,766",32,"2,798",0,"2,798",952,"3,750",74.6133
,忠義里,101,"1,107","1,410","2,618",24,"2,642",0,"2,642",999,"3,641",72.5625
,中興里,116,"1,102","1,074","2,292",21,"2,313",1,"2,314",847,"3,161",73.1730
,自立里,197,"2,689",926,"3,812",32,"3,844",0,"3,844","1,221","5,065",75.8934
,自信里,215,"1,907","1,803","3,925",38,"3,963",0,"3,963","1,364","5,327",74.3946
,莊敬里,110,"1,641",802,"2,553",30,"2,583",0,"2,583",810,"3,393",76.1273
,自治里,137,"1,583",860,"2,580",30,"2,610",0,"2,610",769,"3,379",77.2418
,內壢里,73,799,667,"1,539",17,"1,556",0,"1,556",574,"2,130",73.0516
,成功里,135,"1,343","1,549","3,027",36,"3,063",0,"3,063","1,090","4,153",73.7539
,福德里,122,950,"1,024","2,096",32,"2,128",0,"2,128",655,"2,783",76.4642
,中原里,110,"1,166","1,440","2,716",31,"2,747",19,"2,766",845,"3,611",76.0731
,忠孝里,184,"1,416","1,704","3,304",47,"3,351",0,"3,351","1,073","4,424",75.7459
,復興里,337,"2,674","3,449","6,460",62,"6,522",0,"6,522","2,429","8,951",72.8634
,復華里,198,"1,678","2,197","4,073",42,"4,115",0,"4,115","1,245","5,360",76.7724
,文化里,346,"2,520","3,526","6,392",66,"6,458",0,"6,458","2,031","8,489",76.0749
,和平里,98,824,993,"1,915",22,"1,937",0,"1,937",531,"2,468",78.4846
,內定里,222,"1,673","3,090","4,985",54,"5,039",0,"5,039","1,522","6,561",76.8023
,石頭里,46,472,687,"1,205",16,"1,221",0,"1,221",438,"1,659",73.5986
,中央里,131,"1,104","1,405","2,640",42,"2,682",0,"2,682",752,"3,434",78.1013
,新興里,153,"1,117","1,411","2,681",43,"2,724",0,"2,724",848,"3,572",76.2598
,林森里,126,"1,200","1,510","2,836",26,"2,862",0,"2,862",835,"3,697",77.4141
,振興里,166,"1,584","1,821","3,571",30,"3,601",0,"3,601","1,126","4,727",76.1794
,東興里,134,964,"1,370","2,468",22,"2,490",0,"2,490",782,"3,272",76.1002
,健行里,176,"1,415","1,701","3,292",34,"3,326",0,"3,326",989,"4,315",77.0800
,水尾里,121,956,"1,518","2,595",23,"2,618",0,"2,618",842,"3,460",75.6647
,金華里,158,"1,473","1,412","3,043",40,"3,083",0,"3,083",812,"3,895",79.1528
,忠福里,278,"2,207","3,179","5,664",63,"5,727",0,"5,727","1,802","7,529",76.0659
,幸福里,195,"1,738","2,438","4,371",41,"4,412",0,"4,412","1,461","5,873",75.1234
