第15任總統副總統選舉候選人在臺北市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"70,769","685,830","875,854","1,632,453","21,381","1,653,834",143,"1,653,977","513,287","2,167,264",76.3098
　松山區,,"5,436","55,918","64,207","125,561","1,762","127,323",2,"127,325","37,329","164,654",77.3276
,莊敬里,173,"1,555","1,718","3,446",62,"3,508",0,"3,508","1,022","4,530",77.4393
,東榮里,174,"2,173","2,660","5,007",73,"5,080",0,"5,080","1,409","6,489",78.2863
,三民里,192,"2,010","2,175","4,377",65,"4,442",0,"4,442","1,321","5,763",77.0779
,新益里,133,"1,257","1,686","3,076",45,"3,121",0,"3,121",797,"3,918",79.6580
,富錦里,147,"1,541","1,654","3,342",53,"3,395",0,"3,395",952,"4,347",78.0998
,新東里,138,"1,431","1,706","3,275",50,"3,325",0,"3,325",859,"4,184",79.4694
,富泰里,130,"1,490","1,390","3,010",45,"3,055",0,"3,055",864,"3,919",77.9536
,介壽里,105,"1,167","1,492","2,764",39,"2,803",0,"2,803",781,"3,584",78.2087
,精忠里,99,"1,238","1,393","2,730",35,"2,765",1,"2,766",838,"3,604",76.7203
,東光里,202,"2,156","2,330","4,688",53,"4,741",0,"4,741","1,345","6,086",77.9001
,龍田里,308,"3,566","2,599","6,473",116,"6,589",0,"6,589","1,735","8,324",79.1567
,東昌里,79,641,972,"1,692",15,"1,707",0,"1,707",465,"2,172",78.5912
,東勢里,113,"1,131","1,468","2,712",40,"2,752",0,"2,752",823,"3,575",76.9790
,中華里,174,"1,836","1,993","4,003",57,"4,060",0,"4,060","1,135","5,195",78.1521
,民有里,223,"2,266","3,193","5,682",89,"5,771",0,"5,771","1,664","7,435",77.6194
,民福里,185,"2,075","1,982","4,242",66,"4,308",0,"4,308","1,244","5,552",77.5937
,松基里,97,962,"1,297","2,356",39,"2,395",0,"2,395",707,"3,102",77.2083
,安平里,237,"2,187","3,142","5,566",78,"5,644",0,"5,644","1,609","7,253",77.8161
,鵬程里,152,"1,823","1,638","3,613",58,"3,671",0,"3,671",987,"4,658",78.8106
,自強里,290,"3,980","2,178","6,448",82,"6,530",0,"6,530","1,812","8,342",78.2786
,慈祐里,238,"1,650","2,691","4,579",57,"4,636",0,"4,636","2,435","7,071",65.5636
,吉祥里,235,"2,433","2,789","5,457",55,"5,512",0,"5,512","1,646","7,158",77.0047
,新聚里,216,"2,103","2,878","5,197",53,"5,250",0,"5,250","1,551","6,801",77.1945
,復盛里,183,"1,909","2,045","4,137",53,"4,190",0,"4,190","1,216","5,406",77.5065
,中正里,258,"2,252","3,239","5,749",84,"5,833",1,"5,834","1,717","7,551",77.2480
,中崙里,105,"1,037","1,352","2,494",32,"2,526",0,"2,526",734,"3,260",77.4847
,美仁里,87,882,"1,281","2,250",23,"2,273",0,"2,273",581,"2,854",79.6426
,吉仁里,114,"1,026","1,308","2,448",33,"2,481",0,"2,481",778,"3,259",76.1276
,敦化里,177,"1,759","2,412","4,348",54,"4,402",0,"4,402","1,209","5,611",78.4530
,復源里,74,930,"1,023","2,027",24,"2,051",0,"2,051",568,"2,619",78.3123
,復建里,133,"1,247","1,391","2,771",51,"2,822",0,"2,822",833,"3,655",77.2093
,復勢里,187,"1,561","2,264","4,012",48,"4,060",0,"4,060","1,171","5,231",77.6142
,福成里,78,644,868,"1,590",35,"1,625",0,"1,625",521,"2,146",75.7223
　信義區,,"5,878","62,353","70,285","138,516","1,764","140,280",35,"140,315","44,189","184,504",76.0309
,西村里,116,"1,869","1,122","3,107",38,"3,145",0,"3,145","1,882","5,027",62.5622
,正和里,126,"1,482","1,309","2,917",41,"2,958",0,"2,958",897,"3,855",76.7315
,興隆里,68,842,726,"1,636",16,"1,652",1,"1,653",649,"2,302",71.7637
,中興里,86,971,"1,066","2,123",20,"2,143",0,"2,143",854,"2,997",71.5048
,新仁里,80,"1,049",951,"2,080",28,"2,108",0,"2,108",670,"2,778",75.8819
,興雅里,189,"1,633","1,857","3,679",45,"3,724",1,"3,725","1,162","4,887",76.2022
,敦厚里,147,"1,451","1,708","3,306",56,"3,362",0,"3,362","1,076","4,438",75.7548
,廣居里,198,"2,230","2,408","4,836",64,"4,900",0,"4,900","1,521","6,421",76.3121
,安康里,276,"2,890","3,174","6,340",82,"6,422",0,"6,422","2,033","8,455",75.9551
,六藝里,100,892,"1,371","2,363",32,"2,395",0,"2,395",701,"3,096",77.3579
,雅祥里,136,"1,335","1,809","3,280",42,"3,322",0,"3,322",975,"4,297",77.3098
,五常里,85,"1,015","1,265","2,365",28,"2,393",0,"2,393",744,"3,137",76.2831
,五全里,127,"1,232","1,901","3,260",38,"3,298",0,"3,298",921,"4,219",78.1702
,永吉里,73,805,"1,697","2,575",30,"2,605",1,"2,606",796,"3,402",76.5726
,長春里,112,"1,124","1,602","2,838",33,"2,871",2,"2,873",883,"3,756",76.4377
,四育里,153,"1,421","2,164","3,738",33,"3,771",0,"3,771","1,020","4,791",78.7101
,四維里,167,"1,542","1,811","3,520",45,"3,565",0,"3,565","1,073","4,638",76.8650
,永春里,141,"1,242","1,856","3,239",41,"3,280",0,"3,280",985,"4,265",76.9050
,富台里,119,"1,488","1,176","2,783",41,"2,824",0,"2,824",874,"3,698",76.3656
,國業里,205,"2,082","2,358","4,645",70,"4,715",1,"4,716","1,484","6,200",76.0484
,松隆里,56,594,743,"1,393",10,"1,403",0,"1,403",533,"1,936",72.4690
,松友里,187,"1,883","2,139","4,209",45,"4,254",1,"4,255","1,310","5,565",76.4420
,松光里,132,"1,319","1,771","3,222",43,"3,265",0,"3,265","1,026","4,291",76.0895
,中坡里,121,"1,210","1,588","2,919",46,"2,965",0,"2,965",848,"3,813",77.7603
,中行里,227,"2,040","2,955","5,222",57,"5,279",1,"5,280","1,521","6,801",77.6209
,大道里,176,"1,610","2,254","4,040",67,"4,107",26,"4,133","1,141","5,274",77.8726
,大仁里,116,"1,124","1,414","2,654",30,"2,684",0,"2,684",825,"3,509",76.4890
,景新里,121,"1,622","1,489","3,232",40,"3,272",0,"3,272","1,062","4,334",75.4961
,惠安里,183,"2,174","2,035","4,392",38,"4,430",0,"4,430","1,275","5,705",77.6512
,三張里,232,"2,803","2,723","5,758",71,"5,829",0,"5,829","1,814","7,643",76.2659
,三犁里,154,"1,630","1,608","3,392",45,"3,437",0,"3,437","1,093","4,530",75.8720
,六合里,169,"2,251","1,967","4,387",49,"4,436",0,"4,436","1,466","5,902",75.1610
,泰和里,210,"2,256","2,485","4,951",73,"5,024",0,"5,024","1,704","6,728",74.6730
,景聯里,173,"1,371","1,563","3,107",46,"3,153",0,"3,153",850,"4,003",78.7659
,景勤里,91,"1,247","1,216","2,554",32,"2,586",0,"2,586",822,"3,408",75.8803
,雙和里,217,"2,217","2,245","4,679",57,"4,736",0,"4,736","1,333","6,069",78.0359
,嘉興里,98,914,"1,097","2,109",21,"2,130",0,"2,130",653,"2,783",76.5361
,黎順里,99,"1,209","1,291","2,599",33,"2,632",1,"2,633",927,"3,560",73.9326
,黎平里,210,"2,121","2,307","4,638",55,"4,693",0,"4,693","1,334","6,027",77.8663
,黎忠里,145,"1,431","1,548","3,124",56,"3,180",0,"3,180",979,"4,159",76.4607
,黎安里,57,732,516,"1,305",27,"1,332",0,"1,332",473,"1,805",73.7950
　大安區,,"7,534","85,490","88,977","182,001","2,501","184,502",22,"184,524","62,035","246,559",74.8308
,德安里,128,"1,788","1,540","3,456",37,"3,493",0,"3,493","1,280","4,773",73.1825
,仁慈里,129,"1,396","1,762","3,287",43,"3,330",0,"3,330",995,"4,325",76.9942
,和安里,191,"1,975","1,971","4,137",65,"4,202",1,"4,203","1,337","5,540",75.8484
,民炤里,196,"2,106","2,561","4,863",73,"4,936",0,"4,936","1,731","6,667",74.0363
,仁愛里,96,"1,437","1,446","2,979",34,"3,013",0,"3,013","1,349","4,362",69.0738
,義村里,158,"2,032","1,472","3,662",45,"3,707",0,"3,707","1,184","4,891",75.7923
,民輝里,146,"1,868","2,204","4,218",68,"4,286",0,"4,286","1,494","5,780",74.1522
,昌隆里,74,873,"1,085","2,032",34,"2,066",0,"2,066",723,"2,789",74.0767
,誠安里,104,"1,121","1,291","2,516",39,"2,555",0,"2,555","1,017","3,572",71.5286
,光武里,179,"2,076","2,230","4,485",82,"4,567",0,"4,567","1,727","6,294",72.5612
,龍坡里,167,"1,658","1,691","3,516",54,"3,570",1,"3,571","1,128","4,699",75.9736
,龍泉里,133,"1,307","1,603","3,043",30,"3,073",2,"3,075",965,"4,040",76.0644
,古風里,116,"1,178","1,399","2,693",41,"2,734",1,"2,735",828,"3,563",76.7331
,古莊里,196,"2,008","2,351","4,555",57,"4,612",0,"4,612","1,482","6,094",75.6810
,龍安里,157,"1,789","2,092","4,038",59,"4,097",1,"4,098","2,497","6,595",62.1228
,錦安里,145,"1,650","1,753","3,548",53,"3,601",2,"3,603","1,170","4,773",75.4452
,福住里,167,"1,587","1,975","3,729",71,"3,800",0,"3,800","1,254","5,054",75.1880
,永康里,115,"1,060","1,082","2,257",32,"2,289",0,"2,289",732,"3,021",75.7696
,光明里,86,939,"1,158","2,183",31,"2,214",0,"2,214",702,"2,916",75.9259
,錦泰里,80,"1,106","1,067","2,253",22,"2,275",0,"2,275",671,"2,946",77.2234
,錦華里,155,"1,600","1,807","3,562",52,"3,614",0,"3,614",971,"4,585",78.8222
,龍圖里,165,"2,072","1,993","4,230",58,"4,288",0,"4,288","1,466","5,754",74.5221
,新龍里,194,"2,423","1,691","4,308",63,"4,371",0,"4,371","1,197","5,568",78.5022
,龍陣里,79,"1,069","1,070","2,218",31,"2,249",0,"2,249",735,"2,984",75.3686
,龍雲里,119,"1,373","1,551","3,043",32,"3,075",0,"3,075","1,012","4,087",75.2386
,龍生里,183,"1,954","1,946","4,083",59,"4,142",5,"4,147","1,243","5,390",76.8460
,住安里,115,"1,529","1,469","3,113",54,"3,167",0,"3,167","1,232","4,399",71.9936
,義安里,145,"1,640","1,547","3,332",37,"3,369",0,"3,369","1,197","4,566",73.7845
,通化里,185,"1,563","2,209","3,957",52,"4,009",0,"4,009","1,326","5,335",75.1453
,通安里,148,"1,585","1,743","3,476",47,"3,523",0,"3,523","1,116","4,639",75.9431
,臨江里,126,"1,199","1,343","2,668",32,"2,700",3,"2,703",860,"3,563",75.7788
,法治里,109,"1,418","1,285","2,812",45,"2,857",0,"2,857",962,"3,819",74.8102
,全安里,100,"1,330","1,276","2,706",36,"2,742",0,"2,742",994,"3,736",73.3940
,群賢里,159,"1,861","1,696","3,716",57,"3,773",0,"3,773","1,247","5,020",75.1594
,群英里,220,"2,769","1,568","4,557",65,"4,622",0,"4,622","1,308","5,930",77.9427
,虎嘯里,122,"1,147","1,158","2,427",43,"2,470",1,"2,471",790,"3,261",75.7436
,臥龍里,60,640,620,"1,320",15,"1,335",0,"1,335",408,"1,743",76.5921
,龍淵里,232,"2,550","2,951","5,733",90,"5,823",0,"5,823","1,656","7,479",77.8580
,龍門里,101,"1,226","1,350","2,677",19,"2,696",0,"2,696",851,"3,547",76.0079
,大學里,236,"2,488","2,688","5,412",73,"5,485",1,"5,486","1,650","7,136",76.8638
,芳和里,140,"1,754","1,796","3,690",44,"3,734",0,"3,734","1,207","4,941",75.5717
,黎元里,139,"1,557","1,844","3,540",44,"3,584",0,"3,584","1,100","4,684",76.5158
,黎孝里,235,"2,307","2,562","5,104",76,"5,180",0,"5,180","1,440","6,620",78.2477
,黎和里,119,"1,575","1,451","3,145",29,"3,174",2,"3,176",954,"4,130",76.8523
,建安里,124,"1,398","1,410","2,932",32,"2,964",0,"2,964","1,160","4,124",71.8720
,建倫里,132,"1,733","1,785","3,650",48,"3,698",0,"3,698","1,471","5,169",71.5419
,敦安里,146,"1,694","1,942","3,782",36,"3,818",2,"3,820","1,366","5,186",73.6213
,正聲里,125,"1,394","1,330","2,849",48,"2,897",0,"2,897","1,106","4,003",72.3707
,敦煌里,157,"1,629","1,895","3,681",48,"3,729",0,"3,729","1,256","4,985",74.8044
,華聲里,102,"1,240","1,255","2,597",42,"2,639",0,"2,639",944,"3,583",73.6534
