第15任總統副總統選舉候選人在臺東縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"4,163","67,413","44,092","115,668","1,119","116,787",1,"116,788","62,748","179,536",65.0493
　臺東市,,"2,201","31,473","24,898","58,572",576,"59,148",0,"59,148","25,727","84,875",69.6884
,文化里,17,241,235,493,3,496,0,496,353,849,58.4217
,民族里,44,447,511,"1,002",9,"1,011",0,"1,011",347,"1,358",74.4477
,自強里,108,"1,502","1,217","2,827",28,"2,855",0,"2,855","1,017","3,872",73.7345
,民生里,64,"1,118","1,026","2,208",18,"2,226",0,"2,226",788,"3,014",73.8553
,寶桑里,28,282,265,575,5,580,0,580,243,823,70.4739
,民權里,24,286,282,592,10,602,0,602,246,848,70.9906
,四維里,14,261,153,428,5,433,0,433,216,649,66.7180
,中華里,42,515,534,"1,091",9,"1,100",0,"1,100",526,"1,626",67.6507
,仁愛里,16,224,233,473,5,478,0,478,216,694,68.8761
,強國里,18,199,219,436,1,437,0,437,172,609,71.7570
,大同里,22,260,223,505,10,515,0,515,223,738,69.7832
,成功里,22,239,268,529,3,532,0,532,210,742,71.6981
,建國里,37,407,372,816,13,829,0,829,416,"1,245",66.5863
,中正里,13,259,303,575,6,581,0,581,199,780,74.4872
,中山里,14,266,276,556,4,560,0,560,179,739,75.7781
,興國里,20,232,276,528,1,529,0,529,205,734,72.0708
,鐵花里,11,112,167,290,4,294,0,294,105,399,73.6842
,東海里,64,"1,028",814,"1,906",18,"1,924",0,"1,924",747,"2,671",72.0329
,復國里,15,210,157,382,2,384,0,384,192,576,66.6667
,復興里,10,148,124,282,0,282,0,282,149,431,65.4292
,新興里,26,338,286,650,4,654,0,654,298,952,68.6975
,新生里,169,"2,449","1,812","4,430",45,"4,475",0,"4,475","1,825","6,300",71.0317
,中心里,75,"1,089",907,"2,071",18,"2,089",0,"2,089",804,"2,893",72.2088
,馬蘭里,80,"1,060",667,"1,807",14,"1,821",0,"1,821",655,"2,476",73.5460
,光明里,73,982,671,"1,726",16,"1,742",0,"1,742",703,"2,445",71.2474
,豐年里,93,"1,097",721,"1,911",16,"1,927",0,"1,927","1,018","2,945",65.4329
,豐樂里,40,514,426,980,11,991,0,991,430,"1,421",69.7396
,永樂里,64,733,599,"1,396",17,"1,413",0,"1,413",605,"2,018",70.0198
,康樂里,31,426,418,875,12,887,0,887,403,"1,290",68.7597
,豐榮里,221,"3,052","2,125","5,398",49,"5,447",0,"5,447","2,321","7,768",70.1210
,豐谷里,107,"1,889","1,291","3,287",22,"3,309",0,"3,309","1,627","4,936",67.0381
,豐里里,52,725,787,"1,564",16,"1,580",0,"1,580",716,"2,296",68.8153
,豐原里,32,330,428,790,4,794,0,794,381,"1,175",67.5745
,富岡里,30,566,290,886,19,905,0,905,562,"1,467",61.6905
,富豐里,19,291,191,501,4,505,0,505,327,832,60.6971
,南榮里,66,"1,069",619,"1,754",13,"1,767",0,"1,767",799,"2,566",68.8620
,岩灣里,38,810,526,"1,374",23,"1,397",0,"1,397",732,"2,129",65.6177
,卑南里,81,907,996,"1,984",17,"2,001",0,"2,001",651,"2,652",75.4525
,南王里,54,"1,047",711,"1,812",18,"1,830",0,"1,830",796,"2,626",69.6877
,豐田里,38,595,651,"1,284",18,"1,302",0,"1,302",659,"1,961",66.3947
,新園里,33,650,414,"1,097",17,"1,114",0,"1,114",452,"1,566",71.1367
,建和里,24,554,349,927,7,934,0,934,427,"1,361",68.6260
,建興里,25,302,312,639,7,646,0,646,263,909,71.0671
,建業里,38,466,326,830,11,841,0,841,405,"1,246",67.4960
,知本里,37,500,366,903,14,917,0,917,420,"1,337",68.5864
,建農里,52,796,354,"1,202",10,"1,212",0,"1,212",699,"1,911",63.4223
　成功鎮,,212,"4,677","1,936","6,825",51,"6,876",0,"6,876","5,044","11,920",57.6846
,信義里,20,742,197,959,5,964,0,964,797,"1,761",54.7416
,和平里,7,283,87,377,2,379,0,379,344,723,52.4205
,忠仁里,43,775,462,"1,280",5,"1,285",0,"1,285",799,"2,084",61.6603
,忠智里,45,740,399,"1,184",12,"1,196",0,"1,196",626,"1,822",65.6422
,三民里,51,"1,068",379,"1,498",10,"1,508",0,"1,508","1,082","2,590",58.2239
,三仙里,22,457,200,679,11,690,0,690,671,"1,361",50.6980
,忠孝里,16,319,158,493,4,497,0,497,459,956,51.9874
,博愛里,8,293,54,355,2,357,0,357,266,623,57.3034
　關山鎮,,173,"2,662","1,764","4,599",53,"4,652",1,"4,653","2,558","7,211",64.5126
,里?里,44,599,376,"1,019",8,"1,027",0,"1,027",592,"1,619",63.4342
,中福里,19,295,271,585,6,591,0,591,192,783,75.4789
,新福里,24,291,206,521,14,535,0,535,321,856,62.5000
,豐泉里,27,468,282,777,5,782,1,783,301,"1,084",72.1402
,月眉里,8,189,191,388,7,395,0,395,299,694,56.9164
,德高里,36,640,348,"1,024",7,"1,031",0,"1,031",627,"1,658",62.1834
,電光里,15,180,90,285,6,291,0,291,226,517,56.2863
　卑南鄉,,331,"5,338","3,962","9,631",88,"9,719",0,"9,719","4,923","14,642",66.3775
,賓朗村,54,663,730,"1,447",11,"1,458",0,"1,458",682,"2,140",68.1308
,美農村,21,266,336,623,2,625,0,625,433,"1,058",59.0737
,初鹿村,32,462,335,829,8,837,0,837,381,"1,218",68.7192
,明峰村,34,359,312,705,7,712,0,712,430,"1,142",62.3468
,嘉豐村,18,160,108,286,3,289,0,289,188,477,60.5870
,太平村,60,"1,170",767,"1,997",22,"2,019",0,"2,019",964,"2,983",67.6835
,泰安村,25,455,248,728,9,737,0,737,348,"1,085",67.9263
,利嘉村,24,490,222,736,8,744,0,744,339,"1,083",68.6981
,東興村,13,601,178,792,4,796,0,796,344,"1,140",69.8246
,溫泉村,26,291,398,715,4,719,0,719,366,"1,085",66.2673
,富山村,10,174,95,279,5,284,0,284,179,463,61.3391
,富源村,5,74,125,204,4,208,0,208,124,332,62.6506
,利吉村,9,173,108,290,1,291,0,291,145,436,66.7431
　鹿野鄉,,128,"2,240","1,755","4,123",52,"4,175",0,"4,175","2,504","6,679",62.5094
,鹿野村,18,407,244,669,7,676,0,676,377,"1,053",64.1975
,龍田村,14,273,366,653,9,662,0,662,354,"1,016",65.1575
,永安村,21,529,318,868,14,882,0,882,514,"1,396",63.1805
,瑞隆村,14,338,158,510,3,513,0,513,345,858,59.7902
,瑞源村,25,310,187,522,7,529,0,529,313,842,62.8266
,瑞和村,17,195,132,344,5,349,0,349,290,639,54.6166
,瑞豐村,19,188,350,557,7,564,0,564,311,875,64.4571
　池上鄉,,149,"2,213","1,768","4,130",37,"4,167",0,"4,167","2,777","6,944",60.0086
,福原村,42,632,564,"1,238",9,"1,247",0,"1,247",606,"1,853",67.2963
,福文村,26,332,263,621,5,626,0,626,465,"1,091",57.3786
,慶豐村,12,201,147,360,5,365,0,365,266,631,57.8447
,大坡村,7,94,51,152,4,156,0,156,165,321,48.5981
,大埔村,17,272,155,444,6,450,0,450,319,769,58.5176
,新興村,18,259,222,499,4,503,0,503,318,821,61.2667
,錦園村,8,84,116,208,2,210,0,210,133,343,61.2245
,萬安村,3,80,110,193,1,194,0,194,109,303,64.0264
,富興村,11,132,81,224,0,224,0,224,161,385,58.1818
,振興村,5,127,59,191,1,192,0,192,235,427,44.9649
　東河鄉,,157,"2,664","1,321","4,142",39,"4,181",0,"4,181","3,257","7,438",56.2113
,都蘭村,48,808,483,"1,339",9,"1,348",0,"1,348",723,"2,071",65.0893
,興昌村,12,305,206,523,9,532,0,532,352,884,60.1810
,隆昌村,7,210,105,322,3,325,0,325,215,540,60.1852
,東河村,26,378,130,534,6,540,0,540,423,963,56.0748
,泰源村,22,396,143,561,7,568,0,568,567,"1,135",50.0441
,北源村,36,493,200,729,4,733,0,733,856,"1,589",46.1296
,尚德村,6,74,54,134,1,135,0,135,121,256,52.7344
　長濱鄉,,106,"2,307","1,010","3,423",39,"3,462",0,"3,462","2,790","6,252",55.3743
,寧埔村,16,466,161,643,6,649,0,649,523,"1,172",55.3754
,竹湖村,16,309,148,473,4,477,0,477,404,881,54.1430
,長濱村,33,684,359,"1,076",18,"1,094",0,"1,094",832,"1,926",56.8017
,忠勇村,11,148,99,258,3,261,0,261,260,521,50.0960
,三間村,21,474,134,629,5,634,0,634,520,"1,154",54.9393
,樟原村,9,226,109,344,3,347,0,347,251,598,58.0268
　太麻里鄉,,196,"3,632","2,278","6,106",61,"6,167",0,"6,167","3,226","9,393",65.6553
,美和村,25,386,394,805,11,816,0,816,451,"1,267",64.4041
,三和村,15,161,207,383,3,386,0,386,205,591,65.3130
,華源村,20,145,218,383,8,391,0,391,199,590,66.2712
,北里村,13,188,159,360,4,364,0,364,193,557,65.3501
,大王村,26,666,438,"1,130",13,"1,143",0,"1,143",569,"1,712",66.7640
,泰和村,28,544,379,951,5,956,0,956,410,"1,366",69.9854
,香蘭村,14,273,190,477,5,482,0,482,299,781,61.7157
,金崙村,36,845,205,"1,086",6,"1,092",0,"1,092",555,"1,647",66.3024
,多良村,19,424,88,531,6,537,0,537,345,882,60.8844
　大武鄉,,75,"1,928",855,"2,858",26,"2,884",0,"2,884","2,072","4,956",58.1921
,南興村,8,236,92,336,3,339,0,339,187,526,64.4487
,尚武村,20,346,339,705,8,713,0,713,665,"1,378",51.7417
,大武村,17,462,246,725,4,729,0,729,525,"1,254",58.1340
,大鳥村,18,528,113,659,4,663,0,663,405,"1,068",62.0787
,大竹村,12,356,65,433,7,440,0,440,290,730,60.2740
　綠島鄉,,49,"1,189",527,"1,765",19,"1,784",0,"1,784","1,618","3,402",52.4397
,南寮村,19,520,240,779,3,782,0,782,661,"1,443",54.1927
,中寮村,17,337,146,500,8,508,0,508,500,"1,008",50.3968
,公?村,13,332,141,486,8,494,0,494,457,951,51.9453
　海端鄉,,63,"1,439",397,"1,899",15,"1,914",0,"1,914","1,213","3,127",61.2088
,加拿村,10,230,52,292,2,294,0,294,172,466,63.0901
,崁頂村,10,284,69,363,1,364,0,364,179,543,67.0350
,海端村,24,391,113,528,5,533,0,533,391,924,57.6840
,廣原村,9,307,81,397,2,399,0,399,304,703,56.7568
,霧鹿村,4,124,33,161,4,165,0,165,84,249,66.2651
,利稻村,6,103,49,158,1,159,0,159,83,242,65.7025
　延平鄉,,49,"1,348",406,"1,803",26,"1,829",0,"1,829",953,"2,782",65.7441
,桃源村,13,428,195,636,8,644,0,644,326,970,66.3918
,紅葉村,9,203,57,269,4,273,0,273,132,405,67.4074
,永康村,6,167,23,196,2,198,0,198,95,293,67.5768
,武陵村,11,279,69,359,6,365,0,365,186,551,66.2432
,鸞山村,10,271,62,343,6,349,0,349,214,563,61.9893
　金峰鄉,,58,"1,785",341,"2,184",12,"2,196",0,"2,196",691,"2,887",76.0651
,嘉蘭村,22,679,156,857,3,860,0,860,325,"1,185",72.5738
,正興村,17,365,65,447,1,448,0,448,132,580,77.2414
,新興村,4,324,71,399,3,402,0,402,92,494,81.3765
,賓茂村,8,213,25,246,2,248,0,248,66,314,78.9809
,歷坵村,7,204,24,235,3,238,0,238,76,314,75.7962
　達仁鄉,,61,"1,510",352,"1,923",11,"1,934",0,"1,934","1,027","2,961",65.3158
,安朔村,17,285,61,363,0,363,0,363,195,558,65.0538
,南田村,5,136,45,186,1,187,0,187,94,281,66.5480
,森永村,6,185,55,246,1,247,0,247,130,377,65.5172
,新化村,5,177,41,223,1,224,0,224,97,321,69.7819
,台?村,11,313,58,382,4,386,0,386,196,582,66.3230
,土?村,17,414,92,523,4,527,0,527,315,842,62.5891
　蘭嶼鄉,,155,"1,008",522,"1,685",14,"1,699",0,"1,699","2,368","4,067",41.7753
,椰油村,24,273,94,391,3,394,0,394,521,915,43.0601
,紅頭村,33,335,163,531,4,535,0,535,680,"1,215",44.0329
,東清村,48,276,146,470,4,474,0,474,731,"1,205",39.3361
,朗島村,50,124,119,293,3,296,0,296,436,732,40.4372
