第15任總統副總統選舉候選人在苗栗縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"15,222","164,345","147,034","326,601","3,578","330,179",7,"330,186","117,236","447,422",73.7959
　苗栗市,,"2,366","30,335","20,569","53,270",552,"53,822",1,"53,823","18,301","72,124",74.6243
,中苗里,37,467,304,808,16,824,0,824,260,"1,084",76.0148
,青苗里,35,416,275,726,7,733,0,733,263,996,73.5944
,維祥里,108,"1,424",840,"2,372",18,"2,390",0,"2,390",832,"3,222",74.1775
,維新里,125,"1,557",968,"2,650",22,"2,672",0,"2,672",890,"3,562",75.014
,玉清里,72,985,581,"1,638",16,"1,654",0,"1,654",509,"2,163",76.4679
,玉華里,130,"1,621",928,"2,679",30,"2,709",0,"2,709",845,"3,554",76.224
,綠苗里,23,363,234,620,8,628,0,628,201,829,75.7539
,高苗里,94,"1,275",859,"2,228",21,"2,249",0,"2,249",857,"3,106",72.4082
,新苗里,43,335,264,642,4,646,0,646,206,852,75.8216
,玉苗里,21,352,268,641,5,646,0,646,225,871,74.1676
,大同里,20,217,143,380,7,387,0,387,122,509,76.0314
,恭敬里,43,549,404,996,13,"1,009",0,"1,009",317,"1,326",76.0935
,水源里,68,"1,010",700,"1,778",18,"1,796",0,"1,796",619,"2,415",74.3685
,勝利里,109,"1,597","1,159","2,865",18,"2,883",0,"2,883",924,"3,807",75.7289
,清華里,100,"1,275",918,"2,293",26,"2,319",0,"2,319",741,"3,060",75.7843
,上苗里,50,606,494,"1,150",10,"1,160",0,"1,160",369,"1,529",75.8666
,北苗里,154,"2,082","1,444","3,680",47,"3,727",0,"3,727","1,211","4,938",75.4759
,嘉盛里,130,"1,419",930,"2,479",31,"2,510",0,"2,510",859,"3,369",74.5028
,福星里,126,"1,624","1,168","2,918",35,"2,953",0,"2,953","1,071","4,024",73.3847
,福安里,107,"1,327",974,"2,408",29,"2,437",1,"2,438",866,"3,304",73.7591
,嘉新里,87,"1,241",807,"2,135",17,"2,152",0,"2,152",634,"2,786",77.2434
,建功里,137,"1,737","1,132","3,006",35,"3,041",0,"3,041",924,"3,965",76.6961
,福麗里,177,"2,153","1,391","3,721",39,"3,760",0,"3,760","1,430","5,190",72.447
,文山里,127,"1,519","1,088","2,734",20,"2,754",0,"2,754",851,"3,605",76.3939
,文聖里,119,"1,385",991,"2,495",23,"2,518",0,"2,518",887,"3,405",73.9501
,新川里,25,420,331,776,9,785,0,785,345,"1,130",69.469
,南勢里,53,750,531,"1,334",14,"1,348",0,"1,348",564,"1,912",70.5021
,新英里,46,629,443,"1,118",14,"1,132",0,"1,132",479,"1,611",70.2669
　苑裡鎮,,"1,231","9,349","16,758","27,338",334,"27,672",1,"27,673","9,838","37,511",73.7704
,苑東里,60,575,935,"1,570",15,"1,585",0,"1,585",497,"2,082",76.1287
,苑南里,53,399,610,"1,062",9,"1,071",0,"1,071",389,"1,460",73.3562
,苑北里,26,220,405,651,1,652,1,653,212,865,75.3757
,西平里,45,349,727,"1,121",14,"1,135",0,"1,135",378,"1,513",75.0165
,苑港里,43,204,629,876,7,883,0,883,301,"1,184",74.5777
,西勢里,57,479,903,"1,439",18,"1,457",0,"1,457",470,"1,927",75.6098
,海岸里,26,205,447,678,14,692,0,692,326,"1,018",67.9764
,房裡里,61,515,"1,008","1,584",12,"1,596",0,"1,596",582,"2,178",73.2782
,客庄里,135,"1,029","1,650","2,814",36,"2,850",0,"2,850",913,"3,763",75.7374
,中正里,60,534,954,"1,548",14,"1,562",0,"1,562",535,"2,097",74.4874
,苑坑里,18,166,415,599,8,607,0,607,275,882,68.8209
,水坡里,19,145,305,469,2,471,0,471,153,624,75.4808
,新復里,51,344,568,963,10,973,0,973,341,"1,314",74.0487
,山?里,43,355,607,"1,005",9,"1,014",0,"1,014",356,"1,370",74.0146
,舊社里,78,461,723,"1,262",14,"1,276",0,"1,276",467,"1,743",73.2071
,福田里,41,293,543,877,16,893,0,893,337,"1,230",72.6016
,石鎮里,11,145,226,382,3,385,0,385,135,520,74.0385
,蕉埔里,32,252,284,568,8,576,0,576,177,753,76.494
,南勢里,21,150,291,462,7,469,0,469,204,673,69.688
,泰田里,48,345,771,"1,164",19,"1,183",0,"1,183",409,"1,592",74.309
,上?里,54,433,619,"1,106",29,"1,135",0,"1,135",465,"1,600",70.9375
,玉田里,56,411,742,"1,209",17,"1,226",0,"1,226",490,"1,716",71.4452
,社苓里,59,560,"1,035","1,654",18,"1,672",0,"1,672",579,"2,251",74.2781
,山柑里,59,335,549,943,17,960,0,960,404,"1,364",70.3812
,田心里,75,445,812,"1,332",17,"1,349",0,"1,349",443,"1,792",75.279
　通霄鎮,,893,"7,952","11,395","20,240",239,"20,479",0,"20,479","8,043","28,522",71.8007
,通東里,31,319,439,789,5,794,0,794,304,"1,098",72.3133
,通西里,56,602,764,"1,422",15,"1,437",0,"1,437",436,"1,873",76.7218
,平元里,50,504,837,"1,391",12,"1,403",0,"1,403",380,"1,783",78.6876
,平安里,70,503,812,"1,385",21,"1,406",0,"1,406",554,"1,960",71.7347
,圳頭里,25,205,255,485,6,491,0,491,171,662,74.1692
,梅南里,48,370,677,"1,095",14,"1,109",0,"1,109",394,"1,503",73.7858
,通南里,75,721,"1,032","1,828",19,"1,847",0,"1,847",780,"2,627",70.3083
,內湖里,40,492,695,"1,227",17,"1,244",0,"1,244",531,"1,775",70.0845
,楓樹里,18,131,127,276,10,286,0,286,152,438,65.2968
,烏眉里,26,324,242,592,8,600,0,600,255,855,70.1754
,福龍里,9,156,89,254,1,255,0,255,136,391,65.2174
,福源里,30,212,263,505,6,511,0,511,242,753,67.8619
,城北里,30,189,264,483,12,495,0,495,153,648,76.3889
,城南里,21,228,370,619,2,621,0,621,281,902,68.847
,南和里,20,219,309,548,3,551,0,551,211,762,72.3097
,福興里,21,190,223,434,3,437,0,437,201,638,68.4953
,坪頂里,45,358,428,831,7,838,0,838,333,"1,171",71.5628
,五南里,40,400,475,915,10,925,0,925,318,"1,243",74.4167
,五北里,54,321,622,997,10,"1,007",0,"1,007",373,"1,380",72.971
,通灣里,72,579,804,"1,455",20,"1,475",0,"1,475",701,"2,176",67.7849
,新埔里,29,190,516,735,10,745,0,745,339,"1,084",68.7269
,內島里,19,179,320,518,4,522,0,522,209,731,71.409
,白東里,39,379,543,961,15,976,0,976,389,"1,365",71.5018
,白西里,25,181,289,495,9,504,0,504,200,704,71.5909
　竹南鎮,,"2,718","21,395","25,639","49,752",532,"50,284",0,"50,284","16,840","67,124",74.9121
,竹南里,52,670,729,"1,451",11,"1,462",0,"1,462",398,"1,860",78.6022
,照南里,129,"1,025","1,337","2,491",42,"2,533",0,"2,533",686,"3,219",78.689
,正南里,84,766,"1,002","1,852",15,"1,867",0,"1,867",802,"2,669",69.9513
,新南里,190,"1,468","1,751","3,409",40,"3,449",0,"3,449","1,048","4,497",76.6956
,大厝里,232,"1,719","1,955","3,906",37,"3,943",0,"3,943","1,140","5,083",77.5723
,營盤里,150,"1,016","1,392","2,558",32,"2,590",0,"2,590",782,"3,372",76.809
,聖福里,125,"1,145","1,217","2,487",29,"2,516",0,"2,516",744,"3,260",77.1779
,竹興里,112,930,"1,150","2,192",25,"2,217",0,"2,217",898,"3,115",71.1717
,龍山里,116,700,875,"1,691",18,"1,709",0,"1,709",477,"2,186",78.1793
,天文里,92,718,754,"1,564",13,"1,577",0,"1,577",496,"2,073",76.0733
,龍鳳里,80,676,737,"1,493",13,"1,506",0,"1,506",531,"2,037",73.9323
,山佳里,212,"1,464","1,535","3,211",35,"3,246",0,"3,246","1,304","4,550",71.3407
,佳興里,133,981,"1,190","2,304",23,"2,327",0,"2,327",768,"3,095",75.1858
,中港里,32,350,396,778,10,788,0,788,241,"1,029",76.5792
,中華里,110,877,"1,083","2,070",15,"2,085",0,"2,085",646,"2,731",76.3457
,中英里,74,485,526,"1,085",6,"1,091",0,"1,091",352,"1,443",75.6064
,中美里,73,608,713,"1,394",18,"1,412",0,"1,412",489,"1,901",74.2767
,開元里,47,309,417,773,8,781,0,781,272,"1,053",74.169
,海口里,166,"1,083","1,517","2,766",24,"2,790",0,"2,790","1,047","3,837",72.7131
,港墘里,84,674,833,"1,591",32,"1,623",0,"1,623",467,"2,090",77.6555
,公?里,38,415,352,805,3,808,0,808,324,"1,132",71.3781
,大埔里,168,"1,228","1,554","2,950",29,"2,979",0,"2,979","1,212","4,191",71.0809
,頂埔里,62,655,822,"1,539",17,"1,556",0,"1,556",513,"2,069",75.2054
,崎頂里,122,"1,142","1,366","2,630",27,"2,657",0,"2,657",974,"3,631",73.1754
,公義里,35,291,436,762,10,772,0,772,229,"1,001",77.1229
　頭份市,,"3,126","32,116","24,811","60,053",616,"60,669",1,"60,670","21,299","81,969",74.0146
,流東里,83,823,565,"1,471",28,"1,499",0,"1,499",638,"2,137",70.1451
,珊湖里,55,715,460,"1,230",13,"1,243",0,"1,243",464,"1,707",72.8178
,斗煥里,124,"1,172",752,"2,048",23,"2,071",0,"2,071",805,"2,876",72.0097
,新華里,141,"1,518",940,"2,599",22,"2,621",0,"2,621",961,"3,582",73.1714
,興隆里,159,"1,663","1,319","3,141",28,"3,169",1,"3,170","1,083","4,253",74.5121
,上埔里,81,"1,073",653,"1,807",24,"1,831",0,"1,831",696,"2,527",72.4575
,土牛里,39,345,319,703,8,711,0,711,239,950,74.8421
,頭份里,134,"1,254",956,"2,344",26,"2,370",0,"2,370",827,"3,197",74.132
,忠孝里,120,"1,246",886,"2,252",21,"2,273",0,"2,273",693,"2,966",76.6352
,自強里,72,721,582,"1,375",14,"1,389",0,"1,389",555,"1,944",71.4506
,信義里,16,286,218,520,11,531,0,531,394,925,57.4054
,仁愛里,51,597,454,"1,102",14,"1,116",0,"1,116",385,"1,501",74.3504
,上興里,75,731,557,"1,363",16,"1,379",0,"1,379",659,"2,038",67.6644
,下興里,85,956,738,"1,779",9,"1,788",0,"1,788",632,"2,420",73.8843
,和平里,32,415,347,794,7,801,0,801,209,"1,010",79.3069
,山下里,158,"1,468","1,207","2,833",26,"2,859",0,"2,859",920,"3,779",75.6549
,後庄里,187,"1,385","1,385","2,957",33,"2,990",0,"2,990",907,"3,897",76.7257
,合興里,104,907,796,"1,807",15,"1,822",0,"1,822",593,"2,415",75.4451
,文化里,141,"1,212","1,166","2,519",26,"2,545",0,"2,545",765,"3,310",76.8882
,中興里,103,948,841,"1,892",25,"1,917",0,"1,917",695,"2,612",73.392
,蟠桃里,130,"1,084","1,027","2,241",20,"2,261",0,"2,261",836,"3,097",73.0061
,建國里,124,"1,312","1,084","2,520",13,"2,533",0,"2,533",807,"3,340",75.8383
,成功里,141,"1,398","1,037","2,576",24,"2,600",0,"2,600",830,"3,430",75.8017
,民族里,66,812,570,"1,448",19,"1,467",0,"1,467",480,"1,947",75.3467
,民權里,75,783,682,"1,540",19,"1,559",0,"1,559",508,"2,067",75.4233
,東庄里,126,"1,504","1,161","2,791",23,"2,814",0,"2,814",990,"3,804",73.9748
,田寮里,137,"1,484","1,241","2,862",26,"2,888",0,"2,888",987,"3,875",74.529
,民生里,102,883,655,"1,640",20,"1,660",0,"1,660",610,"2,270",73.1278
,蘆竹里,46,473,438,957,7,964,0,964,325,"1,289",74.7867
,尖山里,43,537,380,960,14,974,0,974,348,"1,322",73.6762
,廣興里,27,429,204,660,3,663,0,663,205,868,76.3825
,尖下里,77,"1,059",641,"1,777",27,"1,804",0,"1,804",672,"2,476",72.8595
,濫坑里,72,923,550,"1,545",12,"1,557",0,"1,557",581,"2,138",72.8251
　後龍鎮,,851,"9,175","10,834","20,860",269,"21,129",0,"21,129","8,621","29,750",71.0218
,南龍里,39,453,482,974,8,982,0,982,388,"1,370",71.6788
,中龍里,23,227,310,560,3,563,0,563,167,730,77.1233
,北龍里,39,378,530,947,9,956,0,956,314,"1,270",75.2756
,大庄里,135,"1,235","1,521","2,891",32,"2,923",0,"2,923","1,104","4,027",72.5851
,東明里,52,383,524,959,17,976,0,976,448,"1,424",68.5393
,灣寶里,25,320,509,854,12,866,0,866,346,"1,212",71.4521
