第15任總統副總統選舉候選人在連江縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,188,"4,776","1,226","6,190",82,"6,272",0,"6,272","4,667","10,939",57.3361
　南竿鄉,,114,"2,875",784,"3,773",53,"3,826",0,"3,826","2,431","6,257",61.1475
,介壽村,40,915,247,"1,202",20,"1,222",0,"1,222",696,"1,918",63.7122
,復興村、福沃村,27,765,196,988,19,"1,007",0,"1,007",715,"1,722",58.4785
,清水村、珠螺村,25,495,170,690,7,697,0,697,420,"1,117",62.3993
,仁愛村、津沙村、馬祖村、四維村,22,700,171,893,7,900,0,900,600,"1,500",60.0000
　北竿鄉,,25,883,201,"1,109",14,"1,123",0,"1,123","1,066","2,189",51.3020
,塘岐村、后沃村,15,487,121,623,6,629,0,629,592,"1,221",51.5152
,橋仔村、芹壁村、?里村、白沙村,10,396,80,486,8,494,0,494,474,968,51.0331
　莒光鄉,,14,513,105,632,9,641,0,641,733,"1,374",46.6521
,青帆村、田沃村、西坵村,9,228,43,280,3,283,0,283,357,640,44.2188
,福正村、大坪村,5,285,62,352,6,358,0,358,376,734,48.7738
　東引鄉,,35,505,136,676,6,682,0,682,437,"1,119",60.9473
,中柳村、樂華村,35,505,136,676,6,682,0,682,437,"1,119",60.9473
