第15任總統副總統選舉候選人在金門縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"1,636","35,948","10,456","48,040",423,"48,463",0,"48,463","72,258","120,721",40.1446
　金城鎮,,505,"11,492","3,170","15,167",128,"15,295",0,"15,295","21,793","37,088",41.2398
,東門里,65,"1,579",421,"2,065",18,"2,083",0,"2,083","2,705","4,788",43.5046
,南門里,87,"1,638",464,"2,189",18,"2,207",0,"2,207","3,060","5,267",41.9024
,西門里,131,"3,036",846,"4,013",31,"4,044",0,"4,044","5,434","9,478",42.6672
,北門里,55,"1,330",327,"1,712",19,"1,731",0,"1,731","2,438","4,169",41.5207
,賢庵里,56,"1,350",434,"1,840",14,"1,854",0,"1,854","2,741","4,595",40.3482
,金水里,30,663,182,875,12,887,0,887,"1,271","2,158",41.1029
,古城里,48,"1,107",269,"1,424",11,"1,435",0,"1,435","2,411","3,846",37.3115
,珠沙里,33,789,227,"1,049",5,"1,054",0,"1,054","1,733","2,787",37.8184
　金沙鎮,,185,"5,736","1,198","7,119",72,"7,191",0,"7,191","11,143","18,334",39.2222
,汶沙里,64,"1,619",383,"2,066",22,"2,088",0,"2,088","3,036","5,124",40.7494
,何斗里,27,619,104,750,9,759,0,759,"1,212","1,971",38.5084
,浦山里,17,719,164,900,10,910,0,910,"1,393","2,303",39.5137
,西園里,12,441,77,530,5,535,0,535,992,"1,527",35.0360
,官嶼里,12,658,104,774,13,787,0,787,"1,371","2,158",36.4690
,三山里,16,577,121,714,6,720,0,720,"1,186","1,906",37.7754
,大洋里,11,375,75,461,2,463,0,463,656,"1,119",41.3762
,光前里,26,728,170,924,5,929,0,929,"1,297","2,226",41.7341
　金湖鎮,,415,"8,121","2,274","10,810",87,"10,897",0,"10,897","14,960","25,857",42.1433
,新市里,87,"1,438",381,"1,906",14,"1,920",0,"1,920","2,340","4,260",45.0704
,山外里,56,"1,007",264,"1,327",18,"1,345",0,"1,345","1,848","3,193",42.1234
,溪湖里,14,425,86,525,3,528,0,528,937,"1,465",36.0410
,蓮庵里,20,532,119,671,7,678,0,678,945,"1,623",41.7745
,料羅里,29,612,160,801,9,810,0,810,"1,176","1,986",40.7855
,新湖里,140,"2,331",874,"3,345",19,"3,364",0,"3,364","4,303","7,667",43.8764
,正義里,31,794,185,"1,010",7,"1,017",0,"1,017","1,573","2,590",39.2664
,瓊林里,38,982,205,"1,225",10,"1,235",0,"1,235","1,838","3,073",40.1887
　金寧鄉,,437,"7,535","3,161","11,133",111,"11,244",0,"11,244","16,241","27,485",40.9096
,古寧村,26,891,201,"1,118",9,"1,127",0,"1,127","2,118","3,245",34.7304
,安美村,76,"1,330",446,"1,852",25,"1,877",0,"1,877","2,918","4,795",39.1449
,湖埔村,140,"1,884",975,"2,999",29,"3,028",0,"3,028","3,795","6,823",44.3793
,榜林村,59,"1,459",460,"1,978",18,"1,996",0,"1,996","3,089","5,085",39.2527
,盤山村,123,"1,517",988,"2,628",27,"2,655",0,"2,655","3,339","5,994",44.2943
,后盤村,13,454,91,558,3,561,0,561,982,"1,543",36.3577
　烈嶼鄉,,92,"2,968",638,"3,698",24,"3,722",0,"3,722","7,694","11,416",32.6034
,林湖村,34,975,189,"1,198",6,"1,204",0,"1,204","2,102","3,306",36.4186
,黃埔村,6,394,93,493,2,495,0,495,"1,092","1,587",31.1909
,西口村,15,531,144,690,3,693,0,693,"1,671","2,364",29.3147
,上林村,13,340,62,415,7,422,0,422,966,"1,388",30.4035
,上岐村,24,728,150,902,6,908,0,908,"1,863","2,771",32.7680
　烏坵鄉,,2,96,15,113,1,114,0,114,427,541,21.0721
,大坵村,1,60,10,71,0,71,0,71,193,264,26.8939
,小坵村,1,36,5,42,1,43,0,43,234,277,15.5235
