第15任總統副總統選舉候選人在雲林縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"15,331","138,341","246,116","399,788","5,203","404,991",6,"404,997","160,272","565,269",71.6457
　斗六市,,"2,890","25,971","37,261","66,122",815,"66,937",2,"66,939","20,303","87,242",76.7257
,信義里,16,181,289,486,6,492,0,492,134,626,78.5942
,四維里,12,177,274,463,6,469,0,469,131,600,78.1667
,太平里,31,225,322,578,6,584,0,584,165,749,77.9706
,中和里,18,211,376,605,10,615,0,615,157,772,79.6632
,光興里,25,192,315,532,4,536,0,536,202,738,72.6287
,鎮西里,134,"1,080","1,402","2,616",33,"2,649",0,"2,649",943,"3,592",73.7472
,鎮東里,86,795,885,"1,766",14,"1,780",0,"1,780",473,"2,253",79.0058
,文化里,66,717,896,"1,679",27,"1,706",0,"1,706",511,"2,217",76.9508
,三平里,160,"1,491","1,785","3,436",44,"3,480",0,"3,480","1,064","4,544",76.5845
,明德里,127,995,"1,454","2,576",31,"2,607",0,"2,607",791,"3,398",76.7216
,鎮北里,98,892,"1,097","2,087",25,"2,112",0,"2,112",543,"2,655",79.5480
,公誠里,97,672,833,"1,602",19,"1,621",0,"1,621",463,"2,084",77.7831
,忠孝里,29,418,634,"1,081",13,"1,094",0,"1,094",295,"1,389",78.7617
,仁愛里,29,331,493,853,15,868,0,868,208,"1,076",80.6691
,八德里,104,858,"1,302","2,264",42,"2,306",0,"2,306",753,"3,059",75.3841
,公正里,86,893,"1,111","2,090",23,"2,113",1,"2,114",606,"2,720",77.6838
,重光里,71,572,"1,000","1,643",22,"1,665",0,"1,665",610,"2,275",73.1868
,林頭里,139,"1,272","1,639","3,050",35,"3,085",0,"3,085",937,"4,022",76.7031
,成功里,76,786,"1,122","1,984",22,"2,006",0,"2,006",501,"2,507",80.0160
,鎮南里,107,"1,139","1,287","2,533",37,"2,570",1,"2,571",806,"3,377",76.1031
,社口里,78,704,910,"1,692",18,"1,710",0,"1,710",506,"2,216",77.1661
,龍潭里,51,497,769,"1,317",25,"1,342",0,"1,342",348,"1,690",79.4083
,嘉東里,47,409,598,"1,054",13,"1,067",0,"1,067",329,"1,396",76.4327
,崙?里,60,869,877,"1,806",17,"1,823",0,"1,823",529,"2,352",77.5085
,溝?里,24,204,260,488,6,494,0,494,138,632,78.1646
,江厝里,60,570,908,"1,538",21,"1,559",0,"1,559",549,"2,108",73.9564
,三光里,8,148,265,421,2,423,0,423,122,545,77.6147
,久安里,74,725,977,"1,776",13,"1,789",0,"1,789",527,"2,316",77.2453
,虎溪里,166,"1,557","2,207","3,930",42,"3,972",0,"3,972","1,294","5,266",75.4273
,保庄里,157,"1,571","2,342","4,070",50,"4,120",0,"4,120","1,066","5,186",79.4447
,長平里,53,466,812,"1,331",20,"1,351",0,"1,351",381,"1,732",78.0023
,榴中里,149,"1,053","1,963","3,165",42,"3,207",0,"3,207","1,077","4,284",74.8599
,榴北里,32,233,502,767,9,776,0,776,277,"1,053",73.6942
,榴南里,64,510,875,"1,449",14,"1,463",0,"1,463",458,"1,921",76.1583
,梅林里,58,490,790,"1,338",22,"1,360",0,"1,360",426,"1,786",76.1478
,湖山里,35,286,498,819,12,831,0,831,262,"1,093",76.0293
,長安里,114,715,"1,360","2,189",17,"2,206",0,"2,206",659,"2,865",76.9983
,溪洲里,118,814,"1,299","2,231",31,"2,262",0,"2,262",800,"3,062",73.8733
,十三里,31,253,533,817,7,824,0,824,262,"1,086",75.8748
　斗南鎮,,"1,048","9,595","16,802","27,445",333,"27,778",0,"27,778","9,126","36,904",75.2710
,東仁里,37,316,518,871,8,879,0,879,252,"1,131",77.7188
,西岐里,52,639,876,"1,567",17,"1,584",0,"1,584",469,"2,053",77.1554
,大同里,91,789,"1,153","2,033",26,"2,059",0,"2,059",667,"2,726",75.5319
,南昌里,62,575,954,"1,591",20,"1,611",0,"1,611",541,"2,152",74.8606
,北銘里,58,437,610,"1,105",9,"1,114",0,"1,114",328,"1,442",77.2538
,中天里,36,343,575,954,14,968,0,968,255,"1,223",79.1496
,林子里,37,297,612,946,9,955,0,955,322,"1,277",74.7847
,石龜里,29,184,361,574,7,581,0,581,166,747,77.7778
,石溪里,9,202,417,628,5,633,0,633,215,848,74.6462
,靖興里,15,223,384,622,8,630,0,630,248,878,71.7540
,新南里,21,158,294,473,8,481,0,481,186,667,72.1139
,阿丹里,21,256,521,798,10,808,0,808,275,"1,083",74.6076
,將軍里,50,407,752,"1,209",17,"1,226",0,"1,226",437,"1,663",73.7222
,舊社里,97,650,"1,171","1,918",14,"1,932",0,"1,932",649,"2,581",74.8547
,明昌里,93,862,"1,416","2,371",29,"2,400",0,"2,400",794,"3,194",75.1409
,僑真里,72,547,966,"1,585",18,"1,603",0,"1,603",535,"2,138",74.9766
,大東里,19,208,417,644,6,650,0,650,213,863,75.3187
,埤麻里,25,250,304,579,8,587,0,587,204,791,74.2099
,西伯里,16,240,326,582,10,592,0,592,239,831,71.2395
,新崙里,36,365,664,"1,065",22,"1,087",0,"1,087",377,"1,464",74.2486
,東明里,27,235,448,710,7,717,0,717,226,943,76.0339
,新光里,74,619,"1,267","1,960",23,"1,983",0,"1,983",625,"2,608",76.0353
,田頭里,36,532,"1,020","1,588",26,"1,614",0,"1,614",527,"2,141",75.3853
,小東里,35,261,776,"1,072",12,"1,084",0,"1,084",376,"1,460",74.2466
　虎尾鎮,,"1,877","15,707","23,936","41,520",497,"42,017",0,"42,017","14,396","56,413",74.4811
,東仁里,68,823,"1,012","1,903",18,"1,921",0,"1,921",578,"2,499",76.8707
,新興里,62,450,610,"1,122",12,"1,134",0,"1,134",503,"1,637",69.2731
,公安里,117,867,"1,117","2,101",17,"2,118",0,"2,118",614,"2,732",77.5256
,德興里,95,755,925,"1,775",18,"1,793",0,"1,793",633,"2,426",73.9077
,中山里,32,284,363,679,4,683,0,683,212,895,76.3128
,西安里,102,987,"1,222","2,311",21,"2,332",0,"2,332",808,"3,140",74.2675
,立仁里,113,"1,171","1,355","2,639",28,"2,667",0,"2,667",913,"3,580",74.4972
,安慶里,53,471,521,"1,045",4,"1,049",0,"1,049",323,"1,372",76.4577
,平和里,162,"1,307","1,762","3,231",36,"3,267",0,"3,267",943,"4,210",77.6010
,興南里,79,660,897,"1,636",22,"1,658",0,"1,658",528,"2,186",75.8463
,新吉里,121,"1,004","1,578","2,703",37,"2,740",0,"2,740",880,"3,620",75.6906
,穎川里,58,550,839,"1,447",17,"1,464",0,"1,464",465,"1,929",75.8942
,延平里,31,301,491,823,8,831,0,831,255,"1,086",76.5193
,建國里,22,144,161,327,6,333,0,333,170,503,66.2028
,埒內里,79,560,"1,292","1,931",22,"1,953",0,"1,953",606,"2,559",76.3189
,堀頭里,27,205,355,587,11,598,0,598,196,794,75.3149
,安溪里,60,406,805,"1,271",21,"1,292",0,"1,292",428,"1,720",75.1163
,興中里,44,450,642,"1,136",12,"1,148",0,"1,148",446,"1,594",72.0201
,廉使里,78,705,"1,520","2,303",31,"2,334",0,"2,334",835,"3,169",73.6510
,惠來里,75,565,994,"1,634",22,"1,656",0,"1,656",617,"2,273",72.8553
,頂溪里,74,573,"1,211","1,858",24,"1,882",0,"1,882",632,"2,514",74.8608
,中溪里,38,339,571,948,13,961,0,961,344,"1,305",73.6398
,下溪里,55,426,614,"1,095",16,"1,111",0,"1,111",361,"1,472",75.4755
,東屯里,32,296,501,829,18,847,0,847,339,"1,186",71.4165
,西屯里,32,353,589,974,12,986,0,986,436,"1,422",69.3390
,芳草里,29,133,412,574,8,582,0,582,259,841,69.2033
,墾地里,62,340,713,"1,115",19,"1,134",0,"1,134",539,"1,673",67.7824
,北溪里,27,227,362,616,8,624,0,624,205,829,75.2714
,三合里,50,355,502,907,12,919,0,919,328,"1,247",73.6969
　西螺鎮,,806,"8,253","17,906","26,965",299,"27,264",1,"27,265","9,544","36,809",74.0688
,振興里,40,277,770,"1,087",8,"1,095",0,"1,095",427,"1,522",71.9448
,大園里,25,396,834,"1,255",11,"1,266",1,"1,267",399,"1,666",75.9904
,廣福里,42,572,922,"1,536",15,"1,551",0,"1,551",466,"2,017",76.8964
,正興里,64,738,"1,301","2,103",17,"2,120",0,"2,120",754,"2,874",73.7648
,永安里,7,85,166,258,2,260,0,260,67,327,79.5107
,中和里,11,138,260,409,5,414,0,414,157,571,72.5044
,福興里,16,156,257,429,5,434,0,434,113,547,79.3419
,光華里,21,269,449,739,8,747,0,747,252,999,74.7748
,中興里,75,666,"1,248","1,989",17,"2,006",0,"2,006",695,"2,701",74.2688
,漢光里,100,978,"2,016","3,094",39,"3,133",0,"3,133","1,126","4,259",73.5619
,新安里,33,198,708,939,7,946,0,946,303,"1,249",75.7406
,新豐里,31,249,769,"1,049",12,"1,061",0,"1,061",386,"1,447",73.3241
,大新里,46,322,758,"1,126",12,"1,138",0,"1,138",401,"1,539",73.9441
,埤頭里,20,127,456,603,8,611,0,611,221,832,73.4375
,東興里,20,131,549,700,6,706,0,706,240,946,74.6300
,鹿場里,19,299,752,"1,070",7,"1,077",0,"1,077",389,"1,466",73.4652
,廣興里,14,248,340,602,10,612,0,612,226,838,73.0310
,頂湳里,13,187,518,718,9,727,0,727,223,950,76.5263
,吳厝里,19,258,584,861,13,874,0,874,382,"1,256",69.5860
,九隆里,19,130,359,508,5,513,0,513,178,691,74.2402
,下湳里,21,259,271,551,8,559,0,559,223,782,71.4834
,七座里,20,161,423,604,8,612,0,612,253,865,70.7514
,公?里,26,229,695,950,13,963,0,963,349,"1,312",73.3994
,詔安里,24,261,424,709,15,724,0,724,243,967,74.8707
,河南里,28,263,469,760,7,767,0,767,228,995,77.0854
,安定里,27,371,823,"1,221",15,"1,236",0,"1,236",499,"1,735",71.2392
,福田里,25,285,785,"1,095",17,"1,112",0,"1,112",344,"1,456",76.3736
　土庫鎮,,673,"5,572","10,744","16,989",244,"17,233",0,"17,233","6,380","23,613",72.9810
,忠正里,22,220,337,579,7,586,0,586,162,748,78.3422
,順天里,29,243,371,643,9,652,0,652,209,861,75.7259
,宮北里,44,364,608,"1,016",28,"1,044",0,"1,044",294,"1,338",78.0269
,越港里,22,349,426,797,10,807,0,807,211,"1,018",79.2731
,溪邊里,32,281,485,798,14,812,0,812,260,"1,072",75.7463
,石廟里,98,667,"1,192","1,957",28,"1,985",0,"1,985",700,"2,685",73.9292
,興新里,47,328,614,989,10,999,0,999,371,"1,370",72.9197
,奮起里,31,306,529,866,11,877,0,877,386,"1,263",69.4378
,埤腳里,27,293,517,837,7,844,0,844,382,"1,226",68.8418
,後埔里,74,484,942,"1,500",22,"1,522",0,"1,522",676,"2,198",69.2448
,崙內里,34,305,700,"1,039",13,"1,052",0,"1,052",426,"1,478",71.1773
,大荖里,26,182,388,596,9,605,0,605,215,820,73.7805
,東平里,52,330,912,"1,294",21,"1,315",0,"1,315",473,"1,788",73.5459
,南平里,42,387,833,"1,262",18,"1,280",0,"1,280",461,"1,741",73.5210
,西平里,32,371,834,"1,237",19,"1,256",0,"1,256",505,"1,761",71.3231
,北平里,28,158,409,595,8,603,0,603,247,850,70.9412
,新庄里,33,304,647,984,10,994,0,994,402,"1,396",71.2034
　北港鎮,,855,"7,287","15,656","23,798",300,"24,098",0,"24,098","8,542","32,640",73.8297
,東陽里,18,155,345,518,8,526,0,526,169,695,75.6835
,光民里,16,131,360,507,9,516,0,516,138,654,78.8991
,東華里,8,118,207,333,1,334,0,334,111,445,75.0562
,南安里,16,184,427,627,13,640,0,640,187,827,77.3881
,中和里,6,62,164,232,3,235,0,235,95,330,71.2121
,義民里,8,93,173,274,5,279,0,279,96,375,74.4000
,共榮里,13,72,192,277,1,278,0,278,80,358,77.6536
,西勢里,25,218,425,668,8,676,0,676,229,905,74.6961
,仁和里,14,117,231,362,3,365,0,365,111,476,76.6807
,賜福里,13,77,146,236,5,241,0,241,68,309,77.9935
,公?里,14,120,262,396,2,398,0,398,124,522,76.2452
,大同里,28,292,516,836,10,846,0,846,298,"1,144",73.9510
,仁安里,16,140,163,319,5,324,0,324,103,427,75.8782
