第15任總統副總統選舉候選人在高雄市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"55,309","610,896","1,097,621","1,763,826","17,006","1,780,832",12,"1,780,844","518,714","2,299,558",77.4424
　鹽埕區,,455,"5,270","10,425","16,150",162,"16,312",0,"16,312","4,777","21,089",77.3484
,藍橋里,30,294,662,986,7,993,0,993,256,"1,249",79.5036
,慈愛里,4,80,183,267,1,268,0,268,58,326,82.2086
,博愛里,12,130,355,497,5,502,0,502,120,622,80.7074
,壽星里,18,367,547,932,7,939,0,939,340,"1,279",73.4167
,中山里,28,296,539,863,9,872,0,872,232,"1,104",78.9855
,教仁里,44,532,981,"1,557",11,"1,568",0,"1,568",387,"1,955",80.2046
,新樂里,16,234,390,640,8,648,0,648,168,816,79.4118
,中原里,12,141,298,451,6,457,0,457,125,582,78.5223
,光明里,22,328,631,981,10,991,0,991,453,"1,444",68.6288
,育仁里,21,177,379,577,10,587,0,587,166,753,77.9548
,河濱里,55,407,780,"1,242",14,"1,256",0,"1,256",332,"1,588",79.0932
,沙地里,11,151,356,518,4,522,0,522,167,689,75.7620
,南端里,23,259,424,706,9,715,0,715,236,951,75.1840
,港都里,29,251,547,827,3,830,0,830,202,"1,032",80.4264
,江西里,20,252,560,832,8,840,0,840,224,"1,064",78.9474
,新豐里,20,213,357,590,5,595,0,595,176,771,77.1725
,府北里,39,518,933,"1,490",19,"1,509",0,"1,509",506,"2,015",74.8883
,陸橋里,23,286,558,867,7,874,0,874,262,"1,136",76.9366
,瀨南里,11,135,290,436,4,440,0,440,127,567,77.6014
,新化里,10,133,295,438,13,451,0,451,96,547,82.4497
,江南里,7,86,360,453,2,455,0,455,144,599,75.9599
　鼓山區,,"2,717","33,270","51,023","87,010",826,"87,836",0,"87,836","25,380","113,216",77.5827
,鼓峰里,47,675,703,"1,425",14,"1,439",0,"1,439",439,"1,878",76.6241
,雄峰里,37,841,579,"1,457",14,"1,471",0,"1,471",482,"1,953",75.3200
,前峰里,99,"1,426","1,647","3,172",45,"3,217",0,"3,217",817,"4,034",79.7471
,光榮里,62,698,"1,813","2,573",24,"2,597",0,"2,597",710,"3,307",78.5304
,民族里,24,340,661,"1,025",8,"1,033",0,"1,033",211,"1,244",83.0386
,內惟里,22,245,552,819,11,830,0,830,235,"1,065",77.9343
,建國里,60,644,"1,167","1,871",26,"1,897",0,"1,897",467,"2,364",80.2453
,忠正里,90,970,"1,755","2,815",23,"2,838",0,"2,838",799,"3,637",78.0313
,自強里,14,458,78,550,3,553,0,553,145,698,79.2264
,龍井里,21,333,552,906,8,914,0,914,291,"1,205",75.8506
,正德里,39,421,"1,040","1,500",10,"1,510",0,"1,510",398,"1,908",79.1405
,平和里,66,751,"1,804","2,621",27,"2,648",0,"2,648",669,"3,317",79.8312
,民強里,65,613,"1,389","2,067",15,"2,082",0,"2,082",506,"2,588",80.4482
,厚生里,41,697,"1,541","2,279",14,"2,293",0,"2,293",615,"2,908",78.8514
,龍子里,369,"4,352","6,689","11,410",108,"11,518",0,"11,518","3,255","14,773",77.9666
,龍水里,615,"6,516","9,202","16,333",170,"16,503",0,"16,503","4,606","21,109",78.1799
,明誠里,392,"5,062","6,487","11,941",114,"12,055",0,"12,055","3,612","15,667",76.9452
,華豐里,111,"1,317","1,578","3,006",27,"3,033",0,"3,033",751,"3,784",80.1533
,裕興里,85,"1,249","1,328","2,662",22,"2,684",0,"2,684",784,"3,468",77.3933
,裕豐里,48,"1,009",903,"1,960",11,"1,971",0,"1,971",512,"2,483",79.3798
,鼓岩里,12,262,573,847,12,859,0,859,299,"1,158",74.1796
,樹德里,20,254,633,907,6,913,0,913,195,"1,108",82.4007
,寶樹里,22,305,558,885,6,891,0,891,911,"1,802",49.4451
,興宗里,23,342,614,979,6,985,0,985,265,"1,250",78.8000
,光化里,44,326,528,898,8,906,0,906,291,"1,197",75.6892
,山下里,32,400,545,977,13,990,0,990,309,"1,299",76.2125
,河邊里,31,426,690,"1,147",8,"1,155",0,"1,155",354,"1,509",76.5408
,綠川里,32,305,705,"1,042",7,"1,049",0,"1,049",300,"1,349",77.7613
,登山里,7,163,282,452,1,453,0,453,145,598,75.7525
,峰南里,11,187,420,618,5,623,0,623,195,818,76.1614
,麗興里,26,203,482,711,9,720,0,720,226,946,76.1099
,新民里,23,184,512,719,10,729,0,729,210,939,77.6358
,延平里,14,146,422,582,3,585,0,585,143,728,80.3571
,維生里,22,245,643,910,5,915,0,915,285,"1,200",76.2500
,惠安里,39,216,554,809,7,816,0,816,270,"1,086",75.1381
,壽山里,20,241,701,962,11,973,0,973,335,"1,308",74.3884
,哨船頭里,22,290,434,746,14,760,0,760,221,981,77.4720
,桃源里,10,158,259,427,1,428,0,428,122,550,77.8182
　左營區,,"4,098","50,728","66,665","121,491","1,039","122,530",2,"122,532","35,373","157,905",77.5973
,進學里,35,565,664,"1,264",11,"1,275",0,"1,275","1,274","2,549",50.0196
,尾西里,29,227,523,779,8,787,0,787,203,990,79.4949
,頂北里,17,124,279,420,5,425,0,425,81,506,83.9921
,中北里,6,128,355,489,3,492,0,492,124,616,79.8701
,中南里,9,79,287,375,2,377,0,377,118,495,76.1616
,廟東里,12,113,504,629,5,634,0,634,150,784,80.8673
,廟北里,14,141,486,641,8,649,0,649,210,859,75.5530
,尾南里,12,131,404,547,6,553,0,553,153,706,78.3286
,尾北里,75,836,"1,550","2,461",30,"2,491",0,"2,491",684,"3,175",78.4567
,屏山里,29,673,388,"1,090",17,"1,107",0,"1,107",393,"1,500",73.8000
,祥和里,15,360,89,464,1,465,0,465,148,613,75.8564
,永清里,15,244,139,398,1,399,0,399,141,540,73.8889
,莒光里,44,677,558,"1,279",6,"1,285",0,"1,285",420,"1,705",75.3666
,光輝里,73,849,929,"1,851",12,"1,863",0,"1,863",513,"2,376",78.4091
,合群里,64,"1,590",298,"1,952",22,"1,974",0,"1,974",505,"2,479",79.6289
,明建里,15,270,194,479,3,482,0,482,123,605,79.6694
,頂西里,21,164,545,730,6,736,0,736,186,922,79.8265
,聖后里,19,150,421,590,5,595,0,595,127,722,82.4100
,聖西里,9,230,264,503,3,506,0,506,176,682,74.1935
,聖南里,8,94,291,393,2,395,0,395,111,506,78.0632
,城南里,11,98,265,374,3,377,0,377,119,496,76.0081
,路東里,16,151,383,550,10,560,0,560,134,694,80.6916
,?北里,3,57,244,304,6,310,0,310,82,392,79.0816
,?南里,13,131,314,458,3,461,0,461,125,586,78.6689
,埤西里,24,244,401,669,6,675,0,675,212,887,76.0992
,埤北里,19,548,360,927,10,937,0,937,358,"1,295",72.3552
,埤東里,16,271,419,706,6,712,0,712,214,926,76.8898
,海勝里,158,"3,110","1,014","4,282",50,"4,332",1,"4,333","1,172","5,505",78.6921
,崇實里,103,"1,102","1,135","2,340",23,"2,363",0,"2,363",660,"3,023",78.1674
,自助里,14,147,109,270,2,272,0,272,101,373,72.9223
,果貿里,54,"1,454",500,"2,008",12,"2,020",0,"2,020",607,"2,627",76.8938
,果惠里,44,739,330,"1,113",7,"1,120",0,"1,120",310,"1,430",78.3217
,果峰里,34,846,286,"1,166",10,"1,176",0,"1,176",378,"1,554",75.6757
,新下里,328,"4,105","5,649","10,082",105,"10,187",0,"10,187","2,749","12,936",78.7492
,新上里,608,"7,042","11,363","19,013",166,"19,179",0,"19,179","5,119","24,298",78.9324
,新中里,122,"1,069","2,649","3,840",36,"3,876",0,"3,876",995,"4,871",79.5730
,新光里,332,"3,892","5,718","9,942",76,"10,018",0,"10,018","2,714","12,732",78.6836
,菜公里,720,"7,960","12,159","20,839",157,"20,996",1,"20,997","5,867","26,864",78.1566
,福山里,958,"10,117","14,199","25,274",195,"25,469",0,"25,469","7,617","33,086",76.9782
　楠梓區,,"3,938","41,889","70,664","116,491",982,"117,473",2,"117,475","33,725","151,200",77.6938
,清豐里,555,"5,031","10,339","15,925",124,"16,049",0,"16,049","4,346","20,395",78.6909
,東寧里,102,"1,009","1,862","2,973",22,"2,995",0,"2,995",820,"3,815",78.5059
,五常里,126,"1,325","2,914","4,365",45,"4,410",0,"4,410","1,393","5,803",75.9952
,享平里,103,849,"1,733","2,685",24,"2,709",0,"2,709",840,"3,549",76.3314
,惠楠里,65,664,"1,247","1,976",15,"1,991",0,"1,991","1,044","3,035",65.6013
,中陽里,74,655,"1,713","2,442",17,"2,459",0,"2,459",689,"3,148",78.1131
,惠民里,99,949,"1,881","2,929",31,"2,960",0,"2,960",835,"3,795",77.9974
,惠豐里,151,"1,354","1,988","3,493",25,"3,518",0,"3,518",984,"4,502",78.1430
,錦屏里,51,676,"1,818","2,545",18,"2,563",0,"2,563",699,"3,262",78.5714
,玉屏里,30,307,"1,381","1,718",12,"1,730",0,"1,730",369,"2,099",82.4202
,金田里,83,606,"1,991","2,680",30,"2,710",0,"2,710",736,"3,446",78.6419
,稔田里,20,210,883,"1,113",10,"1,123",0,"1,123",250,"1,373",81.7917
,瑞屏里,84,872,"1,714","2,670",13,"2,683",0,"2,683",769,"3,452",77.7231
,翠屏里,432,"4,847","6,248","11,527",83,"11,610",0,"11,610","3,782","15,392",75.4288
,宏南里,14,299,261,574,8,582,0,582,151,733,79.3997
,宏毅里,60,643,"1,055","1,758",17,"1,775",0,"1,775",411,"2,186",81.1985
,宏榮里,69,820,996,"1,885",22,"1,907",0,"1,907",526,"2,433",78.3806
,廣昌里,68,902,"1,270","2,240",22,"2,262",0,"2,262",594,"2,856",79.2017
,久昌里,57,821,"1,150","2,028",15,"2,043",0,"2,043",638,"2,681",76.2029
,大昌里,51,645,812,"1,508",12,"1,520",0,"1,520",495,"2,015",75.4342
,福昌里,46,509,996,"1,551",18,"1,569",0,"1,569",376,"1,945",80.6684
,盛昌里,150,"1,687","2,222","4,059",35,"4,094",0,"4,094","1,081","5,175",79.1111
,泰昌里,24,404,647,"1,075",13,"1,088",0,"1,088",312,"1,400",77.7143
,興昌里,93,"1,156","1,990","3,239",24,"3,263",0,"3,263",843,"4,106",79.4691
,建昌里,63,758,"1,043","1,864",23,"1,887",1,"1,888",571,"2,459",76.7385
,宏昌里,87,945,"1,351","2,383",16,"2,399",0,"2,399",617,"3,016",79.5424
,和昌里,50,637,839,"1,526",13,"1,539",0,"1,539",433,"1,972",78.0426
,慶昌里,70,"1,112","1,284","2,466",25,"2,491",0,"2,491",574,"3,065",81.2724
,隆昌里,87,"1,406","1,591","3,084",23,"3,107",0,"3,107",889,"3,996",77.7528
,秀昌里,70,683,847,"1,600",12,"1,612",0,"1,612",455,"2,067",77.9874
,裕昌里,127,"1,185","2,120","3,432",32,"3,464",1,"3,465",980,"4,445",77.9303
,國昌里,75,933,"1,543","2,551",20,"2,571",0,"2,571",717,"3,288",78.1934
,加昌里,224,"2,585","3,221","6,030",60,"6,090",0,"6,090","1,828","7,918",76.9134
,仁昌里,155,"1,558","1,932","3,645",26,"3,671",0,"3,671","1,140","4,811",76.3043
,藍田里,214,"1,806","3,115","5,135",53,"5,188",0,"5,188","1,388","6,576",78.8929
,中興里,39,308,819,"1,166",9,"1,175",0,"1,175",273,"1,448",81.1464
,中和里,70,733,"1,848","2,651",15,"2,666",0,"2,666",877,"3,543",75.2470
　三民區,,"6,910","73,585","138,048","218,543","2,037","220,580",0,"220,580","61,096","281,676",78.3098
,鼎金里,69,920,"1,857","2,846",20,"2,866",0,"2,866",904,"3,770",76.0212
,鼎盛里,188,"1,921","3,363","5,472",54,"5,526",0,"5,526","1,628","7,154",77.2435
,鼎強里,93,984,"2,046","3,123",31,"3,154",0,"3,154",885,"4,039",78.0886
,鼎力里,81,880,"1,875","2,836",19,"2,855",0,"2,855",779,"3,634",78.5636
,鼎西里,159,"1,659","3,513","5,331",45,"5,376",0,"5,376","1,498","6,874",78.2077
,鼎中里,81,777,"1,763","2,621",24,"2,645",0,"2,645",657,"3,302",80.1030
,鼎泰里,577,"6,072","9,247","15,896",146,"16,042",0,"16,042","4,067","20,109",79.7752
,本館里,179,"2,160","4,067","6,406",54,"6,460",0,"6,460","1,738","8,198",78.7997
